experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
1.0,100,2,True,5,5,50,0.001,0.25,75,1,gs,1,25.0,0.1745694637298584,0.3698053557286042,0.3662715537524511,0.3804067616570636,21.44,21.44,35.96,46.99413333333333,2.8576
1.0,100,2,True,5,5,50,0.001,0.25,75,1,gs,2,25.0,0.197267837524414,0.4708691237487331,0.4700041957617805,0.4734639077095911,0.0,0.0,0.0,0.0,0.0
1.0,100,2,True,5,5,50,0.001,0.25,75,1,boston,2,25.0,0.1476069259643554,0.4710020826902975,0.4706995890238839,0.4719095636895382,0.0,0.0,0.0,0.0,0.0
2.0,100,2,True,5,5,50,0.001,0.25,75,2,gs,1,25.0,0.2253741073608398,0.3694106024420655,0.3656655467229031,0.3806457695995528,21.04,21.04,36.36,47.11466666666667,4.096
2.0,100,2,True,5,5,50,0.001,0.25,75,2,gs,2,25.0,0.2493517684936523,0.4713223933168819,0.4699259819947759,0.4755116272831999,0.0,0.0,0.0,0.0,0.0
2.0,100,2,True,5,5,50,0.001,0.25,75,2,boston,2,25.0,0.1810768795013427,0.4710020826902975,0.4706995890238839,0.4719095636895382,0.0,0.0,0.0,0.0,0.0
11.0,100,2,True,5,5,50,0.001,1.0,0,2,gs,1,100.0,0.5628129386901856,0.5219613228356551,0.0,0.5219613228356551,53.52,53.52,3.28,0.0,3.28
11.0,100,2,True,5,5,50,0.001,1.0,0,2,gs,2,100.0,0.6128180694580078,0.474883806195561,0.0,0.474883806195561,0.0,0.0,0.0,0.0,0.0
11.0,100,2,True,5,5,50,0.001,1.0,0,2,boston,2,100.0,0.4261179733276367,0.475381881901153,0.0,0.475381881901153,0.0,0.0,0.0,0.0,0.0
101.0,100,8,True,5,5,50,0.001,0.5,50,6,gs,1,50.0,18.11273292541504,0.1180158757001329,0.0797841544879635,0.1562475969123023,48.6,100.04,37.88,64.8272,10.9328
101.0,100,8,True,5,5,50,0.001,0.5,50,6,gs,2,50.0,18.633071241378783,0.128706559316365,0.1119223408044165,0.1454907778283134,40.28,113.12,29.06,46.787200000000006,11.3328
