experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
112.0,100,8,True,5,5,50,0.002,0.5,50,4,gs,1,50.0,16.42204493522644,0.0767636365176969,0.0334736959935654,0.1200535770418284,49.92,125.84,54.56,85.2464,23.8736
112.0,100,8,True,5,5,50,0.002,0.5,50,4,gs,2,50.0,16.798588857650756,0.0841513620692933,0.0446933805647572,0.1236093435738295,45.88,148.28,43.4776,78.7584,8.196800000000001
112.0,100,8,True,5,5,50,0.002,0.5,50,4,gs,3,50.0,17.482524890899658,0.0898897173253395,0.0612221978138398,0.1185572368368392,50.0,144.16,36.916,68.2976,5.534400000000001
112.0,100,8,True,5,5,50,0.002,0.5,50,4,gs,4,50.0,18.59780772209168,0.0929161996951901,0.0719156681676903,0.11391673122269,50.0,124.0,30.3408,59.12,1.5616000000000003
112.0,100,8,True,5,5,50,0.002,0.5,50,4,gs,5,50.0,20.381831274032592,0.0961770371362715,0.0836971868379361,0.108656887434607,47.44,96.6,24.5416,46.4384,2.6448
112.0,100,8,True,5,5,50,0.002,0.5,50,4,gs,6,50.0,22.195223217010497,0.1031981981873521,0.1005887602597612,0.1058076361149429,32.44,59.24,13.88,22.8736,4.8864
112.0,100,8,True,5,5,50,0.002,0.5,50,4,gs,7,50.0,24.08501156806945,0.1038070114811843,0.1023784612836978,0.1052355616786707,33.2,37.68,9.7024,16.7536,2.6512
112.0,100,8,True,5,5,50,0.002,0.5,50,4,gs,8,50.0,24.22875131607056,0.1059318557544955,0.1058100139443454,0.1060536975646456,0.0,0.0,0.0,0.0,0.0
112.0,100,8,True,5,5,50,0.002,0.5,50,4,boston,8,50.0,16.266445112228393,0.1058214427243214,0.1055615232897897,0.1060813621588531,0.0,0.0,0.0,0.0,0.0
113.0,100,8,True,5,5,50,0.002,0.5,50,6,gs,1,50.0,18.673923940658568,0.0892720878406691,0.0281295234518786,0.1504146522294596,49.96,139.36,45.52,87.6112,3.4288
113.0,100,8,True,5,5,50,0.002,0.5,50,6,gs,2,50.0,19.164062213897704,0.0915892935569455,0.0555824318484168,0.1275961552654742,46.4,142.96,42.228,73.208,11.248
113.0,100,8,True,5,5,50,0.002,0.5,50,6,gs,3,50.0,20.067744607925416,0.0971306583271973,0.0723245416370193,0.1219367750173753,45.32,143.44,35.3944,62.0048,8.783999999999999
113.0,100,8,True,5,5,50,0.002,0.5,50,6,gs,4,50.0,21.489605226516723,0.1036044174359056,0.0885646596864733,0.1186441751853378,48.36,140.72,25.7696,48.1456,3.3936
113.0,100,8,True,5,5,50,0.002,0.5,50,6,gs,5,50.0,23.300698595046995,0.1060139928095931,0.0950511822323941,0.1169768033867922,49.72,109.48,20.928,40.668800000000005,1.1872
113.0,100,8,True,5,5,50,0.002,0.5,50,6,gs,6,50.0,25.38353035926819,0.1091426544934413,0.1045839821604923,0.1137013268263904,41.24,71.6,14.9608,26.6,3.3216
113.0,100,8,True,5,5,50,0.002,0.5,50,6,gs,7,50.0,27.35321753501892,0.1113904174466107,0.109786421565605,0.1129944133276164,33.64,38.08,8.5576,14.0496,3.0656
113.0,100,8,True,5,5,50,0.002,0.5,50,6,gs,8,50.0,27.487825603485103,0.1129420844949794,0.1128428957933355,0.1130412731966233,0.0,0.0,0.0,0.0,0.0
113.0,100,8,True,5,5,50,0.002,0.5,50,6,boston,8,50.0,18.419954442977904,0.1131389033703662,0.1128767262893148,0.1134010804514176,0.0,0.0,0.0,0.0,0.0
114.0,100,8,True,5,5,50,0.002,0.5,50,8,gs,1,50.0,18.96835886001587,0.0913123417501485,0.0353951401594706,0.1472295433408264,49.96,137.4,44.72,84.416,5.024
114.0,100,8,True,5,5,50,0.002,0.5,50,8,gs,2,50.0,19.41097767829895,0.0905163433111875,0.0520549167476139,0.1289777698747612,43.16,115.52,44.9048,75.0656,14.744000000000002
114.0,100,8,True,5,5,50,0.002,0.5,50,8,gs,3,50.0,20.38293981552124,0.098410787480877,0.0757909604515397,0.1210306145102143,41.68,137.24,36.356,60.1184,12.593600000000002
114.0,100,8,True,5,5,50,0.002,0.5,50,8,gs,4,50.0,21.98733674049377,0.1044053899051626,0.0880451062120738,0.1207656735982514,48.12,143.76,28.5448,50.05440000000001,7.0352
114.0,100,8,True,5,5,50,0.002,0.5,50,8,gs,5,50.0,23.886835823059084,0.1077029988067677,0.1015324736135359,0.1138735239999995,48.52,111.12,21.7752,35.9456,7.6048
114.0,100,8,True,5,5,50,0.002,0.5,50,8,gs,6,50.0,25.98659486770629,0.1097119342142909,0.1051180668873752,0.1143058015412066,42.84,75.0,17.0,28.536,5.464
114.0,100,8,True,5,5,50,0.002,0.5,50,8,gs,7,50.0,27.854194412231447,0.1115377974465872,0.1098299482354533,0.1132456466577211,36.96,42.24,10.3352,17.9024,2.768
114.0,100,8,True,5,5,50,0.002,0.5,50,8,gs,8,50.0,27.99477949142456,0.1138098178579109,0.1138238745319631,0.1137957611838586,0.0,0.0,0.0,0.0,0.0
114.0,100,8,True,5,5,50,0.002,0.5,50,8,boston,8,50.0,18.707043266296388,0.1138006149749142,0.1138214397000319,0.1137797902497965,0.0,0.0,0.0,0.0,0.0
115.0,100,8,True,5,5,50,0.002,0.75,25,4,gs,1,75.0,23.200331497192384,0.1426656618101426,0.1137686659630275,0.152297993759181,73.72,141.84,23.52,49.9488,14.7104
115.0,100,8,True,5,5,50,0.002,0.75,25,4,gs,2,75.0,23.680847511291503,0.1414785420371173,0.1249384766592555,0.1469918971630712,62.52,128.28,22.464,40.4576,16.46613333333333
115.0,100,8,True,5,5,50,0.002,0.75,25,4,gs,3,75.0,24.569164323806763,0.1482027093592742,0.136672986896487,0.1520459501802032,53.2,124.6,14.4784,28.832,9.693866666666668
115.0,100,8,True,5,5,50,0.002,0.75,25,4,gs,4,75.0,26.25503596305847,0.1511823152244632,0.146173049537731,0.1528520704533739,60.4,136.84,8.799199999999999,19.712,5.1616
115.0,100,8,True,5,5,50,0.002,0.75,25,4,gs,5,75.0,28.61247813224793,0.1506363575939719,0.1472480683020595,0.1517657873579427,59.04,107.8,7.3792,15.072,4.814933333333333
115.0,100,8,True,5,5,50,0.002,0.75,25,4,gs,6,75.0,31.34530728340149,0.1508014806389943,0.148226550211543,0.1516597907814781,44.36,67.08,5.845599999999999,10.838400000000002,4.181333333333334
115.0,100,8,True,5,5,50,0.002,0.75,25,4,gs,7,75.0,34.09835359573364,0.1505323449142196,0.1497565755572451,0.1507909346998777,33.88,34.6,3.9128,5.9488,3.2341333333333337
115.0,100,8,True,5,5,50,0.002,0.75,25,4,gs,8,75.0,34.26634678840637,0.1511149449391089,0.1506567104712309,0.1512676897617349,0.0,0.0,0.0,0.0,0.0
115.0,100,8,True,5,5,50,0.002,0.75,25,4,boston,8,75.0,22.966817874908447,0.150978793068603,0.1509589582879925,0.1509854046621398,0.0,0.0,0.0,0.0,0.0
116.0,100,8,True,5,5,50,0.002,0.75,25,6,gs,1,75.0,27.92770650863648,0.139780222307133,0.1110282914511115,0.1493641992591402,68.2,171.44,21.96,51.8656,11.991466666666668
116.0,100,8,True,5,5,50,0.002,0.75,25,6,gs,2,75.0,28.630960674285888,0.1367668755801634,0.1084956287479516,0.146190624524234,74.28,192.28,20.766400000000004,49.3472,11.239466666666669
116.0,100,8,True,5,5,50,0.002,0.75,25,6,gs,3,75.0,29.94373208999633,0.139552181147064,0.1317736187830231,0.142145035268411,69.2,163.52,16.2016,33.104,10.567466666666666
116.0,100,8,True,5,5,50,0.002,0.75,25,6,gs,4,75.0,32.135445013046265,0.139588106876021,0.1368013749592478,0.1405170175149453,49.76,119.16,13.5864,23.7408,10.2016
116.0,100,8,True,5,5,50,0.002,0.75,25,6,gs,5,75.0,35.16810018539429,0.1393560536537016,0.1354927429314969,0.1406438238944364,53.44,107.16,10.8472,19.8944,7.831466666666667
116.0,100,8,True,5,5,50,0.002,0.75,25,6,gs,6,75.0,38.12100231170654,0.1399321641568083,0.1368816300803313,0.1409490088489673,49.44,78.76,7.981599999999999,16.3488,5.192533333333333
116.0,100,8,True,5,5,50,0.002,0.75,25,6,gs,7,75.0,41.09864452362061,0.1402227638946177,0.1388181251257385,0.1406909768175774,42.84,45.52,5.4304,10.4736,3.749333333333334
116.0,100,8,True,5,5,50,0.002,0.75,25,6,gs,8,75.0,41.286147575378415,0.140743420222563,0.1408226038437777,0.140717025682158,0.0,0.0,0.0,0.0,0.0
116.0,100,8,True,5,5,50,0.002,0.75,25,6,boston,8,75.0,27.61526554107666,0.141038501238367,0.1408773397351196,0.1410922217394495,0.0,0.0,0.0,0.0,0.0
117.0,100,8,True,5,5,50,0.002,0.75,25,8,gs,1,75.0,29.144289560318,0.1218606863659728,0.0566195250773162,0.1436077401288583,67.6,184.16,28.04,75.472,12.229333333333336
117.0,100,8,True,5,5,50,0.002,0.75,25,8,gs,2,75.0,29.95897787094116,0.125136170877959,0.1158471411494343,0.1282325141208005,73.0,231.48,21.8536,44.848,14.1888
117.0,100,8,True,5,5,50,0.002,0.75,25,8,gs,3,75.0,31.7130749130249,0.126603058440493,0.1180347569975727,0.1294591589214664,61.2,203.48,18.5232,40.5472,11.181866666666668
117.0,100,8,True,5,5,50,0.002,0.75,25,8,gs,4,75.0,33.89749077796936,0.1283734639362677,0.120944819980121,0.1308496785883165,74.24,190.2,13.3816,34.4704,6.352
117.0,100,8,True,5,5,50,0.002,0.75,25,8,gs,5,75.0,36.609644422531126,0.1292160033139789,0.126388756427777,0.1301584189427128,63.24,127.56,9.8144,24.8256,4.810666666666666
117.0,100,8,True,5,5,50,0.002,0.75,25,8,gs,6,75.0,39.74724322319031,0.1289019691904943,0.1261036357061659,0.1298347470186037,44.32,74.56,8.0232,18.3072,4.5952
117.0,100,8,True,5,5,50,0.002,0.75,25,8,gs,7,75.0,42.75101314544678,0.1287379220972949,0.127299501547607,0.1292173956138576,39.96,43.56,5.5024,10.9024,3.7024
117.0,100,8,True,5,5,50,0.002,0.75,25,8,gs,8,75.0,42.94077088356018,0.1293104309347268,0.1290580817654477,0.1293945473244865,0.0,0.0,0.0,0.0,0.0
117.0,100,8,True,5,5,50,0.002,0.75,25,8,boston,8,75.0,28.76097007751465,0.1293386420469765,0.1291379560113805,0.1294055373921751,0.0,0.0,0.0,0.0,0.0
118.0,100,8,True,5,5,50,0.002,1.0,0,4,gs,1,100.0,35.28656444549561,0.097137670195599,0.0,0.097137670195599,73.28,189.04,45.0,0.0,45.0
118.0,100,8,True,5,5,50,0.002,1.0,0,4,gs,2,100.0,36.10576025009155,0.1136410737979017,0.0,0.1136410737979017,95.08,285.8,25.597600000000003,0.0,25.597600000000003
