experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations_ratio,algorithm,k,k_to_schools_ratio,possible_percentage_manipulators,num_manipulations,average_runtime,average_utility,utility_rating_in_experiment,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
1.0,12,3,True,5,5,50,0.001,0.75,3,0.75,gs,1,0.333,75.0,2.0,0.0864931583404541,0.29140081136759205,1.0,0.22447807759790128,0.31370838929082234,67.66666666666667,11.28,15.999999999999998,57.093333333333334,2.3022222222222224
1.0,12,3,True,5,5,50,0.001,0.75,3,0.75,gs,2,0.667,75.0,2.0,0.10139337539672852,0.29009664969508675,4.0,0.26885448409334356,0.2971773715623345,51.66666666666666,7.8,12.52,31.70666666666667,6.124444444444444
1.0,12,3,True,5,5,50,0.001,0.75,3,0.75,gs,3,1.0,75.0,2.0,0.10903436660766602,0.29110617842466185,2.0,0.29560065313058315,0.2896080201893547,0.0,0.0,0.0,0.0,0.0
1.0,12,3,True,5,5,50,0.001,0.75,3,0.75,boston,3,1.0,75.0,2.0,0.07646089553833008,0.29098529302092,3.0,0.2891443810112222,0.29159893035748596,0.0,0.0,0.0,0.0,0.0
2.0,12,3,True,5,5,50,0.001,0.75,3,1.0,gs,1,0.333,75.0,3.0,0.09204739570617676,0.2883246794388125,4.0,0.22552483667251777,0.3092579603609108,67.66666666666667,11.28,16.999999999999996,57.11999999999999,3.626666666666667
2.0,12,3,True,5,5,50,0.001,0.75,3,1.0,gs,2,0.667,75.0,3.0,0.10730541229248047,0.28988643947077436,3.0,0.2744441328048763,0.29503387502607376,52.0,8.28,12.713333333333333,31.52,6.444444444444445
2.0,12,3,True,5,5,50,0.001,0.75,3,1.0,gs,3,1.0,75.0,3.0,0.11519854545593261,0.29107236103361217,2.0,0.2908744287685982,0.29113833845528353,0.0,0.0,0.0,0.0,0.0
2.0,12,3,True,5,5,50,0.001,0.75,3,1.0,boston,3,1.0,75.0,3.0,0.08079903602600097,0.29208571225985946,1.0,0.2892175639820271,0.29304176168580365,0.0,0.0,0.0,0.0,0.0
3.0,12,3,True,5,5,50,0.001,1.0,0,0.75,gs,1,0.333,100.0,2.0,0.09956281661987304,0.31819135437144663,1.0,0.0,0.31819135437144663,80.33333333333333,13.52,7.666666666666666,0.0,7.666666666666666
3.0,12,3,True,5,5,50,0.001,1.0,0,0.75,gs,2,0.667,100.0,2.0,0.11613978385925293,0.30180789259259155,2.0,0.0,0.30180789259259155,65.33333333333333,9.72,7.586666666666666,0.0,7.586666666666666
