experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
108.0,200,5,True,5,5,50,0.01,1.0,0,5,gs,1,100.0,17.274633741378786,0.2321692739042953,0.0,0.2321692739042953,60.5,239.68,15.8,0.0,15.8
108.0,200,5,True,5,5,50,0.01,1.0,0,5,gs,2,100.0,19.181083984375,0.2289454336203021,0.0,0.2289454336203021,69.64,261.08,11.502,0.0,11.502
108.0,200,5,True,5,5,50,0.01,1.0,0,5,gs,3,100.0,21.591796045303344,0.2228160056579619,0.0,0.2228160056579619,53.26,158.4,9.884,0.0,9.884
108.0,200,5,True,5,5,50,0.01,1.0,0,5,gs,4,100.0,24.09801568031311,0.2217918185157214,0.0,0.2217918185157214,38.46,84.92,6.8256000000000006,0.0,6.8256000000000006
108.0,200,5,True,5,5,50,0.01,1.0,0,5,gs,5,100.0,24.31472630500793,0.2222353436472826,0.0,0.2222353436472826,0.0,0.0,0.0,0.0,0.0
108.0,200,5,True,5,5,50,0.01,1.0,0,5,boston,5,100.0,16.392034187316895,0.2221312768670934,0.0,0.2221312768670934,0.0,0.0,0.0,0.0,0.0
117.0,200,10,True,5,5,50,0.002,1.0,0,10,gs,1,100.0,235.9087599658966,0.0928007903181946,0.0,0.0928007903181946,82.68,552.92,31.48,0.0,31.48
117.0,200,10,True,5,5,50,0.002,1.0,0,10,gs,2,100.0,240.4179610824585,0.0931381959015277,0.0,0.0931381959015277,93.96,717.04,27.1188,0.0,27.1188
117.0,200,10,True,5,5,50,0.002,1.0,0,10,gs,3,100.0,247.94149708747864,0.0926759094926726,0.0,0.0926759094926726,94.84,638.16,25.3948,0.0,25.3948
117.0,200,10,True,5,5,50,0.002,1.0,0,10,gs,4,100.0,259.16012892723086,0.0937702344449221,0.0,0.0937702344449221,86.78,510.88,21.998,0.0,21.998
117.0,200,10,True,5,5,50,0.002,1.0,0,10,gs,5,100.0,271.9342125892639,0.089355733170582,0.0,0.089355733170582,72.44,327.08,27.03,0.0,27.03
117.0,200,10,True,5,5,50,0.002,1.0,0,10,gs,6,100.0,290.2385254383087,0.0914446160990269,0.0,0.0914446160990269,54.68,263.6,20.8148,0.0,20.8148
117.0,200,10,True,5,5,50,0.002,1.0,0,10,gs,7,100.0,314.0194871902466,0.0938578744437601,0.0,0.0938578744437601,63.54,284.16,12.9388,0.0,12.9388
117.0,200,10,True,5,5,50,0.002,1.0,0,10,gs,8,100.0,331.0594076251984,0.0946783602048831,0.0,0.0946783602048831,80.44,253.2,7.2128,0.0,7.2128
117.0,200,10,True,5,5,50,0.002,1.0,0,10,gs,9,100.0,347.9936428260803,0.0943552873611489,0.0,0.0943552873611489,51.76,112.76,5.7672,0.0,5.7672
117.0,200,10,True,5,5,50,0.002,1.0,0,10,gs,10,100.0,348.54131878852843,0.0945612287391707,0.0,0.0945612287391707,0.0,0.0,0.0,0.0,0.0
117.0,200,10,True,5,5,50,0.002,1.0,0,10,boston,10,100.0,233.64500900268555,0.0945502719792889,0.0,0.0945502719792889,0.0,0.0,0.0,0.0,0.0
126.0,200,10,True,5,5,50,0.005,1.0,0,10,gs,1,100.0,187.5177387809753,0.0910175797640357,0.0,0.0910175797640357,81.42,526.64,33.08,0.0,33.08
126.0,200,10,True,5,5,50,0.005,1.0,0,10,gs,2,100.0,191.32204790115355,0.0915218069964016,0.0,0.0915218069964016,91.98,621.32,29.5108,0.0,29.5108
126.0,200,10,True,5,5,50,0.005,1.0,0,10,gs,3,100.0,197.6160424232483,0.0900463192012967,0.0,0.0900463192012967,91.92,525.68,29.3684,0.0,29.3684
126.0,200,10,True,5,5,50,0.005,1.0,0,10,gs,4,100.0,207.24088994026184,0.0906799753714236,0.0,0.0906799753714236,78.78,399.32,27.0304,0.0,27.0304
126.0,200,10,True,5,5,50,0.005,1.0,0,10,gs,5,100.0,217.97445063591005,0.0870676579266745,0.0,0.0870676579266745,63.88,249.6,30.88,0.0,30.88
126.0,200,10,True,5,5,50,0.005,1.0,0,10,gs,6,100.0,231.6053888988495,0.0884358420492123,0.0,0.0884358420492123,39.64,166.84,27.1544,0.0,27.1544
126.0,200,10,True,5,5,50,0.005,1.0,0,10,gs,7,100.0,247.13850454330444,0.0913217940436621,0.0,0.0913217940436621,39.78,165.24,20.088,0.0,20.088
126.0,200,10,True,5,5,50,0.005,1.0,0,10,gs,8,100.0,263.4926019191742,0.0944528437652629,0.0,0.0944528437652629,63.14,187.4,10.0732,0.0,10.0732
126.0,200,10,True,5,5,50,0.005,1.0,0,10,gs,9,100.0,276.99479944229125,0.0939388953483608,0.0,0.0939388953483608,34.52,72.4,7.8656,0.0,7.8656
126.0,200,10,True,5,5,50,0.005,1.0,0,10,gs,10,100.0,277.4920578098297,0.0945372262693012,0.0,0.0945372262693012,0.0,0.0,0.0,0.0,0.0
126.0,200,10,True,5,5,50,0.005,1.0,0,10,boston,10,100.0,185.40506868362428,0.0945502719792889,0.0,0.0945502719792889,0.0,0.0,0.0,0.0,0.0
135.0,200,10,True,5,5,50,0.01,1.0,0,10,gs,1,100.0,180.9195683670044,0.0875594192162401,0.0,0.0875594192162401,77.92,467.24,36.8,0.0,36.8
135.0,200,10,True,5,5,50,0.01,1.0,0,10,gs,2,100.0,184.09671381950372,0.0883107906864291,0.0,0.0883107906864291,87.72,518.4,33.57,0.0,33.57
135.0,200,10,True,5,5,50,0.01,1.0,0,10,gs,3,100.0,190.45014439582823,0.0875539086633823,0.0,0.0875539086633823,85.28,430.0,32.7604,0.0,32.7604
135.0,200,10,True,5,5,50,0.01,1.0,0,10,gs,4,100.0,199.24040287017823,0.0871121024090315,0.0,0.0871121024090315,64.68,296.96,32.4244,0.0,32.4244
135.0,200,10,True,5,5,50,0.01,1.0,0,10,gs,5,100.0,209.80930200576785,0.0861934169627089,0.0,0.0861934169627089,54.78,197.64,32.5512,0.0,32.5512
135.0,200,10,True,5,5,50,0.01,1.0,0,10,gs,6,100.0,223.6403220367432,0.0874878734719982,0.0,0.0874878734719982,30.4,122.28,29.1932,0.0,29.1932
135.0,200,10,True,5,5,50,0.01,1.0,0,10,gs,7,100.0,241.37985238075257,0.0910153473792167,0.0,0.0910153473792167,32.68,134.0,21.7308,0.0,21.7308
135.0,200,10,True,5,5,50,0.01,1.0,0,10,gs,8,100.0,255.5649740600586,0.0936481311803409,0.0,0.0936481311803409,46.86,127.0,13.1832,0.0,13.1832
135.0,200,10,True,5,5,50,0.01,1.0,0,10,gs,9,100.0,267.45120924949646,0.0936274288875853,0.0,0.0936274288875853,22.3,45.44,9.1388,0.0,9.1388
135.0,200,10,True,5,5,50,0.01,1.0,0,10,gs,10,100.0,267.94195717811584,0.0945039204095678,0.0,0.0945039204095678,0.0,0.0,0.0,0.0,0.0
135.0,200,10,True,5,5,50,0.01,1.0,0,10,boston,10,100.0,178.94730068206786,0.0945502719792889,0.0,0.0945502719792889,0.0,0.0,0.0,0.0,0.0
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,1,100.0,1667.6610097122193,0.0408253583076191,0.0,0.0408253583076191,80.7,675.76,46.16,0.0,46.16
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,2,100.0,1671.997001581192,0.0408002029041302,0.0,0.0408002029041302,79.42,732.08,45.2396,0.0,45.2396
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,3,100.0,1681.9980430698397,0.0430675421874858,0.0,0.0430675421874858,71.82,833.16,39.4068,0.0,39.4068
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,4,100.0,1698.0430141925813,0.0439799081690287,0.0,0.0439799081690287,88.1,863.68,36.7844,0.0,36.7844
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,5,100.0,1714.287403306961,0.0421183239515312,0.0,0.0421183239515312,74.36,646.92,40.9984,0.0,40.9984
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,6,100.0,1740.6519076347352,0.0437628631291882,0.0,0.0437628631291882,72.66,627.44,37.0952,0.0,37.0952
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,7,100.0,1772.3351091957093,0.0467317808572419,0.0,0.0467317808572419,86.42,721.56,29.8604,0.0,29.8604
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,8,100.0,1805.572406873703,0.0468457710369034,0.0,0.0468457710369034,85.32,612.48,29.0368,0.0,29.0368
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,9,100.0,1846.8294074344635,0.0471003634229063,0.0,0.0471003634229063,66.04,500.64,27.8948,0.0,27.8948
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,10,100.0,1891.4028055858607,0.0470986334543091,0.0,0.0470986334543091,68.8,437.88,27.6308,0.0,27.6308
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,11,100.0,1947.3697517967223,0.0493007163381879,0.0,0.0493007163381879,75.52,456.28,20.4332,0.0,20.4332
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,12,100.0,2006.8477376937867,0.0495104631260015,0.0,0.0495104631260015,63.78,359.88,19.1792,0.0,19.1792
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,13,100.0,2070.0178965091704,0.0498419421231736,0.0,0.0498419421231736,58.96,296.08,17.3964,0.0,17.3964
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,14,100.0,2136.553153524399,0.0498854839980631,0.0,0.0498854839980631,51.58,207.8,16.7636,0.0,16.7636
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,15,100.0,2210.5666535663604,0.050087664858389,0.0,0.050087664858389,38.26,145.24,14.658400000000002,0.0,14.658400000000002
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,16,100.0,2294.610877866745,0.0501090209036979,0.0,0.0501090209036979,21.14,88.52,13.6976,0.0,13.6976
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,17,100.0,2370.845495328904,0.0503094549116764,0.0,0.0503094549116764,21.54,75.28,11.7444,0.0,11.7444
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,18,100.0,2440.138572225571,0.0505547124167081,0.0,0.0505547124167081,19.16,56.44,8.788800000000002,0.0,8.788800000000002
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,19,100.0,2497.5109008407594,0.0507058818847476,0.0,0.0507058818847476,17.46,35.04,5.9312000000000005,0.0,5.9312000000000005
144.0,200,20,True,5,5,50,0.002,1.0,0,20,gs,20,100.0,2498.741174230576,0.050904138297235,0.0,0.050904138297235,0.0,0.0,0.0,0.0,0.0
144.0,200,20,True,5,5,50,0.002,1.0,0,20,boston,20,100.0,1665.649858341217,0.050908886680205,0.0,0.050908886680205,0.0,0.0,0.0,0.0,0.0
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,1,100.0,1226.7631919193268,0.0378503593339153,0.0,0.0378503593339153,74.52,528.6,51.74,0.0,51.74
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,2,100.0,1230.283399000168,0.0374916294539443,0.0,0.0374916294539443,69.84,524.6,51.63,0.0,51.63
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,3,100.0,1236.9487165641783,0.0380977134428014,0.0,0.0380977134428014,57.06,491.52,49.5976,0.0,49.5976
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,4,100.0,1247.386451616287,0.0398128612459066,0.0,0.0398128612459066,71.2,477.12,46.6676,0.0,46.6676
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,5,100.0,1262.227879524231,0.0397947639992485,0.0,0.0397947639992485,53.42,397.12,46.576,0.0,46.576
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,6,100.0,1281.5370723056794,0.0399033409532014,0.0,0.0399033409532014,54.18,353.84,45.8644,0.0,45.8644
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,7,100.0,1307.085304965973,0.0424713706081453,0.0,0.0424713706081453,56.02,373.84,40.2048,0.0,40.2048
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,8,100.0,1335.3486099529266,0.0437486865401352,0.0,0.0437486865401352,56.8,331.24,37.5152,0.0,37.5152
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,9,100.0,1372.2359395122528,0.0437396061361471,0.0,0.0437396061361471,33.62,245.4,37.1572,0.0,37.1572
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,10,100.0,1407.1921752548217,0.0447074462539347,0.0,0.0447074462539347,39.16,222.8,34.6952,0.0,34.6952
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,11,100.0,1449.3015839481354,0.0467269421512783,0.0,0.0467269421512783,41.7,221.92,29.0332,0.0,29.0332
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,12,100.0,1488.3745458507535,0.0475133261208728,0.0,0.0475133261208728,37.72,176.0,26.3732,0.0,26.3732
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,13,100.0,1535.6900443077088,0.0484682565866605,0.0,0.0484682565866605,34.16,147.72,22.7,0.0,22.7
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,14,100.0,1581.0101367282869,0.0489445973122409,0.0,0.0489445973122409,30.32,102.36,20.2364,0.0,20.2364
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,15,100.0,1629.54619887352,0.0493449880428128,0.0,0.0493449880428128,19.06,62.08,17.9512,0.0,17.9512
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,16,100.0,1687.333663930893,0.0497145676452497,0.0,0.0497145676452497,10.6,38.2,15.622800000000002,0.0,15.622800000000002
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,17,100.0,1748.607731781006,0.0500411540781246,0.0,0.0500411540781246,11.54,36.96,13.306400000000002,0.0,13.306400000000002
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,18,100.0,1797.8174713611602,0.0503783769438827,0.0,0.0503783769438827,9.68,26.72,10.2564,0.0,10.2564
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,19,100.0,1841.8087197399136,0.0506709892878959,0.0,0.0506709892878959,9.0,18.08,6.6524,0.0,6.6524
153.0,200,20,True,5,5,50,0.005,1.0,0,20,gs,20,100.0,1843.0002538490296,0.0508545416078827,0.0,0.0508545416078827,0.0,0.0,0.0,0.0,0.0
153.0,200,20,True,5,5,50,0.005,1.0,0,20,boston,20,100.0,1225.078932981491,0.050908886680205,0.0,0.050908886680205,0.0,0.0,0.0,0.0,0.0
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,1,100.0,875.1123571872711,0.0333858267109606,0.0,0.0333858267109606,63.72,354.52,59.66,0.0,59.66
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,2,100.0,877.5594995689393,0.0337140104733541,0.0,0.0337140104733541,52.06,303.04,58.6616,0.0,58.6616
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,3,100.0,882.8110937595368,0.0346941399986326,0.0,0.0346941399986326,39.08,280.12,56.5892,0.0,56.5892
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,4,100.0,889.7810768985748,0.0357765111526951,0.0,0.0357765111526951,49.6,268.04,54.6828,0.0,54.6828
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,5,100.0,899.6738105392456,0.0361490645200915,0.0,0.0361490645200915,27.64,182.92,53.956,0.0,53.956
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,6,100.0,911.3669656467438,0.0374359145681225,0.0,0.0374359145681225,34.74,189.16,51.4388,0.0,51.4388
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,7,100.0,927.6145070648192,0.0392371778875794,0.0,0.0392371778875794,32.24,176.52,47.838,0.0,47.838
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,8,100.0,950.7245922279358,0.0406872471926666,0.0,0.0406872471926666,31.68,165.88,44.762,0.0,44.762
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,9,100.0,974.2528814601898,0.040926953242783,0.0,0.040926953242783,18.38,115.6,43.9324,0.0,43.9324
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,10,100.0,999.4748433303834,0.042716546297172,0.0,0.042716546297172,23.02,114.08,39.8568,0.0,39.8568
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,11,100.0,1033.2022497177124,0.0446218060135502,0.0,0.0446218060135502,24.52,120.08,34.9672,0.0,34.9672
162.0,200,20,True,5,5,50,0.01,1.0,0,20,gs,12,100.0,1064.9321464443208,0.0458775444920407,0.0,0.0458775444920407,23.62,97.76,31.2056,0.0,31.2056
