experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,utility_rating_in_experiment,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students,k_to_schools_ratio
1.0,100,5,True,5,5,50,0.002,0.5,50,2,gs,1,50.0,2.045027370452881,6.0,0.1602267036871009,0.0921525367794611,0.2283008705947407,48.04,77.4,38.96,73.424,4.496,0.2
1.0,100,5,True,5,5,50,0.002,0.5,50,2,gs,2,50.0,2.201537046432496,5.0,0.1891345722941197,0.1587723313793723,0.2194968132088671,49.8,70.92,23.6256,46.9696,0.2816,0.4
1.0,100,5,True,5,5,50,0.002,0.5,50,2,gs,3,50.0,2.496459331512451,4.0,0.2093408463414436,0.2039722166953776,0.2147094759875096,43.92,62.56,9.7416,17.5184,1.9648,0.6
1.0,100,5,True,5,5,50,0.002,0.5,50,2,gs,4,50.0,2.863200874328613,3.0,0.2152425540885051,0.2145390624204441,0.2159460457565661,19.76,22.4,2.9688,4.0416,1.896,0.8
1.0,100,5,True,5,5,50,0.002,0.5,50,2,gs,5,50.0,2.9189893436431884,2.0,0.215993980902877,0.2155405230057741,0.21644743879998,0.0,0.0,0.0,0.0,0.0,1.0
1.0,100,5,True,5,5,50,0.002,0.5,50,2,boston,5,50.0,1.970467348098755,1.0,0.2164501712993387,0.2158874728728354,0.217012869725842,0.0,0.0,0.0,0.0,0.0,1.0
2.0,100,5,True,5,5,50,0.002,0.5,50,4,gs,1,50.0,2.226654300689697,6.0,0.158846655640608,0.0933041865773525,0.2243891247038636,48.48,94.36,37.36,73.11840000000001,1.6016,0.2
2.0,100,5,True,5,5,50,0.002,0.5,50,4,gs,2,50.0,2.4379146671295167,5.0,0.1879960895550999,0.1556572968189775,0.2203348822912224,49.8,82.36,24.2496,48.3712,0.128,0.4
2.0,100,5,True,5,5,50,0.002,0.5,50,4,gs,3,50.0,2.766320810317993,4.0,0.2088501925488912,0.2011950462179469,0.2165053388798355,43.92,65.52,10.3968,18.8496,1.944,0.6
2.0,100,5,True,5,5,50,0.002,0.5,50,4,gs,4,50.0,3.087268228530884,3.0,0.2152027319106294,0.2144936933938182,0.2159117704274406,19.96,22.6,2.972,4.0128,1.9312,0.8
