experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
1.0,100,5,True,5,5,50,0.002,0.5,50,2,gs,1,50.0,2.045027370452881,0.1602267036871009,0.0921525367794611,0.2283008705947407,48.04,77.4,38.96,73.424,4.496
1.0,100,5,True,5,5,50,0.002,0.5,50,2,gs,2,50.0,2.201537046432496,0.1891345722941197,0.1587723313793723,0.2194968132088671,49.8,70.92,23.6256,46.9696,0.2816
1.0,100,5,True,5,5,50,0.002,0.5,50,2,gs,3,50.0,2.496459331512451,0.2093408463414436,0.2039722166953776,0.2147094759875096,43.92,62.56,9.7416,17.5184,1.9648
1.0,100,5,True,5,5,50,0.002,0.5,50,2,gs,4,50.0,2.863200874328613,0.2152425540885051,0.2145390624204441,0.2159460457565661,19.76,22.4,2.9688,4.0416,1.896
1.0,100,5,True,5,5,50,0.002,0.5,50,2,gs,5,50.0,2.9189893436431884,0.215993980902877,0.2155405230057741,0.21644743879998,0.0,0.0,0.0,0.0,0.0
1.0,100,5,True,5,5,50,0.002,0.5,50,2,boston,5,50.0,1.970467348098755,0.2164501712993387,0.2158874728728354,0.217012869725842,0.0,0.0,0.0,0.0,0.0
2.0,100,5,True,5,5,50,0.002,0.5,50,4,gs,1,50.0,2.226654300689697,0.158846655640608,0.0933041865773525,0.2243891247038636,48.48,94.36,37.36,73.11840000000001,1.6016
2.0,100,5,True,5,5,50,0.002,0.5,50,4,gs,2,50.0,2.4379146671295167,0.1879960895550999,0.1556572968189775,0.2203348822912224,49.8,82.36,24.2496,48.3712,0.128
2.0,100,5,True,5,5,50,0.002,0.5,50,4,gs,3,50.0,2.766320810317993,0.2088501925488912,0.2011950462179469,0.2165053388798355,43.92,65.52,10.3968,18.8496,1.944
2.0,100,5,True,5,5,50,0.002,0.5,50,4,gs,4,50.0,3.087268228530884,0.2152027319106294,0.2144936933938182,0.2159117704274406,19.96,22.6,2.972,4.0128,1.9312
2.0,100,5,True,5,5,50,0.002,0.5,50,4,gs,5,50.0,3.134876947402954,0.2162314971845797,0.2156952532376415,0.2167677411315179,0.0,0.0,0.0,0.0,0.0
2.0,100,5,True,5,5,50,0.002,0.5,50,4,boston,5,50.0,2.1018540382385256,0.2164501712993387,0.2158874728728354,0.217012869725842,0.0,0.0,0.0,0.0,0.0
11.0,100,5,True,5,5,50,0.005,0.5,50,4,gs,1,50.0,3.051443996429444,0.158101396434023,0.0928883608316041,0.2233144320364418,48.36,94.2,37.48,73.184,1.7760000000000002
11.0,100,5,True,5,5,50,0.005,0.5,50,4,gs,2,50.0,3.337063236236572,0.1878564196870654,0.1564298761296934,0.2192829632444375,49.76,80.12,24.0992,48.0512,0.1472
11.0,100,5,True,5,5,50,0.005,0.5,50,4,gs,3,50.0,3.80403621673584,0.2090665909990231,0.2016617275744663,0.2164714544235799,43.0,62.4,10.4144,18.6576,2.1712
11.0,100,5,True,5,5,50,0.005,0.5,50,4,gs,4,50.0,4.204914236068726,0.2151006189566148,0.2145119986610926,0.215689239252137,16.32,18.4,3.2304000000000004,4.1392,2.3216
11.0,100,5,True,5,5,50,0.005,0.5,50,4,gs,5,50.0,4.270096340179443,0.2159629338486666,0.2156533498596874,0.2162725178376458,0.0,0.0,0.0,0.0,0.0
11.0,100,5,True,5,5,50,0.005,0.5,50,4,boston,5,50.0,2.880018587112427,0.2164501712993387,0.2158874728728354,0.217012869725842,0.0,0.0,0.0,0.0,0.0
12.0,100,5,True,5,5,50,0.005,0.5,50,5,gs,1,50.0,2.4143203353881835,0.1579040305717567,0.0926562665283797,0.2231517946151336,48.32,94.24,37.48,73.2784,1.6816
12.0,100,5,True,5,5,50,0.005,0.5,50,5,gs,2,50.0,2.645065336227417,0.1886799103596417,0.1566210468297045,0.220738773889579,49.76,81.0,24.0584,47.9824,0.1344
