experiment_number,num_students,num_schools,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,num_manipulations,algorithm,k,average_utility,average_percentage_manipulators,average_percentage_unassigned_students
1.0,20,7,5,10,100,0.02,6,gs,2,0.13502473644320642,74.1,30.903
1.0,20,7,5,10,100,0.02,6,gs,7,0.13626014216061216,0.0,0.0
1.0,20,7,5,10,100,0.02,6,gs,6,0.13859540489228855,53.9,5.464999999999999
1.0,20,7,5,10,100,0.02,6,gs,5,0.1412450197672142,63.6,9.328
1.0,20,7,5,10,100,0.02,6,boston,7,0.13628847356248353,0.0,0.0
1.0,20,7,5,10,100,0.02,6,gs,1,0.11877701705579584,67.9,44.6
1.0,20,7,5,10,100,0.02,6,gs,3,0.1410613489793584,70.2,21.668
1.0,20,7,5,10,100,0.02,6,gs,4,0.14183199299499322,66.7,14.587
2.0,10,10,5,10,100,0.02,5,gs,10,0.10003988376797228,0.0,0.0
2.0,10,10,5,10,100,0.02,5,gs,9,0.10302647964887109,47.8,3.63
2.0,10,10,5,10,100,0.02,5,gs,7,0.1048060277520261,63.0,9.99
2.0,10,10,5,10,100,0.02,5,gs,8,0.10393412538553115,56.8,7.186
2.0,10,10,5,10,100,0.02,5,gs,5,0.10021706538981694,62.0,22.776
2.0,10,10,5,10,100,0.02,5,gs,4,0.09593884855224999,61.4,30.206
2.0,10,10,5,10,100,0.02,5,gs,3,0.08813213713389718,60.0,40.104
2.0,10,10,5,10,100,0.02,5,gs,2,0.0732980521967771,60.0,53.734
2.0,10,10,5,10,100,0.02,5,gs,1,0.0626257429383176,54.6,61.6
2.0,10,10,5,10,100,0.02,5,boston,10,0.1000195008338816,0.0,0.0
2.0,10,10,5,10,100,0.02,5,gs,6,0.10339635015247414,62.0,15.77
3.0,15,6,5,10,100,0.02,5,gs,4,0.17948066893658804,61.33333333333333,8.326666666666666
3.0,15,6,5,10,100,0.02,5,gs,6,0.1716852666074323,0.0,0.0
3.0,15,6,5,10,100,0.02,5,boston,6,0.17187050354179423,0.0,0.0
3.0,15,6,5,10,100,0.02,5,gs,1,0.16017586923309093,61.2,35.733333333333334
3.0,15,6,5,10,100,0.02,5,gs,2,0.17679433891754576,68.8,22.481333333333332
3.0,15,6,5,10,100,0.02,5,gs,3,0.1822486858129082,65.06666666666666,13.791999999999998
3.0,15,6,5,10,100,0.02,5,gs,5,0.17579437561478145,50.4,4.570666666666666
4.0,10,3,5,10,100,0.02,5,boston,3,0.3035608151893436,0.0,0.0
4.0,10,3,5,10,100,0.02,5,gs,1,0.3118999671719215,60.8,25.4
4.0,10,3,5,10,100,0.02,5,gs,2,0.3152427780522956,58.4,8.854
4.0,10,3,5,10,100,0.02,5,gs,3,0.3035196316077541,0.0,0.0
5.0,30,7,5,10,100,0.02,5,gs,7,0.14812383771561224,0.0,0.0
5.0,30,7,5,10,100,0.02,5,gs,5,0.15425652073434196,64.33333333333334,6.672
5.0,30,7,5,10,100,0.02,5,gs,4,0.15664461534318022,71.4,9.898666666666667
5.0,30,7,5,10,100,0.02,5,gs,3,0.15528562407185884,68.86666666666667,16.303333333333335
5.0,30,7,5,10,100,0.02,5,gs,2,0.14637267590793185,63.0,27.845333333333336
5.0,30,7,5,10,100,0.02,5,gs,1,0.12565777266365716,63.6,43.99999999999999
5.0,30,7,5,10,100,0.02,5,boston,7,0.1482284468211613,0.0,0.0
5.0,30,7,5,10,100,0.02,5,gs,6,0.151024734668551,53.53333333333334,3.4593333333333334
6.0,18,5,5,10,100,0.02,5,boston,5,0.19509352723731505,0.0,0.0
6.0,18,5,5,10,100,0.02,5,gs,1,0.18344612940599775,60.44444444444444,37.22222222222222
6.0,18,5,5,10,100,0.02,5,gs,2,0.20199296158440042,66.11111111111111,21.493333333333332
6.0,18,5,5,10,100,0.02,5,gs,3,0.20746906155744888,64.55555555555556,10.613333333333333
6.0,18,5,5,10,100,0.02,5,gs,4,0.19957197000912488,60.11111111111111,6.021111111111111
6.0,18,5,5,10,100,0.02,5,gs,5,0.195121340505182,0.0,0.0
7.0,30,4,5,10,100,0.02,5,gs,2,0.2621539879644924,58.133333333333326,16.608
7.0,30,4,5,10,100,0.02,5,gs,4,0.24820800736791301,0.0,0.0
7.0,30,4,5,10,100,0.02,5,gs,3,0.26031852789144455,58.26666666666667,8.595333333333333
7.0,30,4,5,10,100,0.02,5,gs,1,0.23973689169535387,48.6,34.93333333333333
7.0,30,4,5,10,100,0.02,5,boston,4,0.2481979745260857,0.0,0.0
8.0,20,10,5,10,100,0.02,7,gs,10,0.09597854636313723,0.0,0.0
8.0,20,10,5,10,100,0.02,7,gs,7,0.09716147054428922,68.6,10.197
8.0,20,10,5,10,100,0.02,7,gs,8,0.09624088040308502,64.3,7.460000000000001
8.0,20,10,5,10,100,0.02,7,gs,6,0.09803101349797941,70.6,13.831
8.0,20,10,5,10,100,0.02,7,boston,10,0.09603050313355999,0.0,0.0
8.0,20,10,5,10,100,0.02,7,gs,5,0.09844345515550039,73.6,17.896
8.0,20,10,5,10,100,0.02,7,gs,4,0.09747891482591467,77.0,23.061
8.0,20,10,5,10,100,0.02,7,gs,1,0.05814644162634639,47.7,63.4
8.0,20,10,5,10,100,0.02,7,gs,2,0.08452557483689502,72.7,41.3
8.0,20,10,5,10,100,0.02,7,gs,3,0.09406963072275752,75.9,29.702999999999996
8.0,20,10,5,10,100,0.02,7,gs,9,0.09542811697747783,49.9,5.332
9.0,15,4,5,10,100,0.02,3,gs,2,0.24886680245575735,59.2,16.518666666666668
9.0,15,4,5,10,100,0.02,3,gs,3,0.24940610050942064,59.6,6.902666666666666
9.0,15,4,5,10,100,0.02,3,gs,1,0.24189976639935273,64.66666666666667,30.133333333333333
9.0,15,4,5,10,100,0.02,3,boston,4,0.2408663936326425,0.0,0.0
9.0,15,4,5,10,100,0.02,3,gs,4,0.24127780629292134,0.0,0.0
10.0,30,5,5,10,100,0.02,4,gs,4,0.19663834175320324,62.666666666666664,4.9526666666666666
10.0,30,5,5,10,100,0.02,4,gs,2,0.19703608016936908,66.73333333333333,21.788666666666668
10.0,30,5,5,10,100,0.02,4,gs,1,0.16258258785522686,49.93333333333332,47.2
10.0,30,5,5,10,100,0.02,4,boston,5,0.19324718180715367,0.0,0.0
10.0,30,5,5,10,100,0.02,4,gs,5,0.19326749832704726,0.0,0.0
10.0,30,5,5,10,100,0.02,4,gs,3,0.20264540603617584,73.73333333333333,10.256666666666666
