experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,average_utility,average_utility_fair_students,average_utility_manipulator_students,possible_percentage_manipulators,average_runtime,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
1.0,20,7,True,5,10,100,0.02,0.6,8,6,gs,1,0.11588727725238997,0.07031322422554132,0.14626997927028906,60.0,20.244075751304628,53.1,17.84,46.0,72.885,28.076666666666664
1.0,20,7,True,5,10,100,0.02,0.6,8,6,gs,2,0.13030514775946977,0.12234934104728813,0.13560901890092417,60.0,20.78430531024933,57.9,24.84,32.397,48.7425,21.5
1.0,20,7,True,5,10,100,0.02,0.6,8,6,gs,3,0.14030074065955092,0.1498211238425908,0.1339538185375243,60.0,21.553460245132445,59.1,26.08,20.546,33.5825,11.855
1.0,20,7,True,5,10,100,0.02,0.6,8,6,gs,4,0.14528786335801275,0.1679043565985311,0.1302102011976672,60.0,22.384599061012267,59.0,24.1,12.543,20.255,7.401666666666667
1.0,20,7,True,5,10,100,0.02,0.6,8,6,gs,5,0.1466430801314044,0.17323757254447356,0.12891341852269161,60.0,23.282567300796508,58.1,18.9,7.8900000000000015,13.78,3.963333333333334
1.0,20,7,True,5,10,100,0.02,0.6,8,6,gs,6,0.1471787121103098,0.167000629430756,0.13396410056334565,60.0,23.947015771865846,53.2,10.64,3.938,8.36,0.9900000000000001
1.0,20,7,True,5,10,100,0.02,0.6,8,6,gs,7,0.1474239677196803,0.147161464830623,0.1475989696457185,60.0,24.1907345867157,0.0,0.0,0.0,0.0,0.0
1.0,20,7,True,5,10,100,0.02,0.6,8,6,boston,7,0.14765370845685957,0.14710441662958432,0.14801990300837642,60.0,20.08498791694641,0.0,0.0,0.0,0.0,0.0
2.0,10,10,True,5,10,100,0.02,0.6,4,5,gs,1,0.06208650214749354,0.037389679768868596,0.07855105039991016,60.0,27.7239031124115,49.8,8.38,61.4,79.67,49.22
2.0,10,10,True,5,10,100,0.02,0.6,4,5,gs,2,0.06930665945585358,0.07411448041228123,0.06610144548490182,60.0,27.9843727684021,58.0,10.32,53.918,57.76,51.35666666666667
2.0,10,10,True,5,10,100,0.02,0.6,4,5,gs,3,0.08237473342937655,0.09643982965543481,0.07299800261200437,60.0,28.441051292419434,59.2,12.04,41.11600000000001,42.47,40.21333333333333
2.0,10,10,True,5,10,100,0.02,0.6,4,5,gs,4,0.08882120727797468,0.11115656230889487,0.07393097059069456,60.0,29.046168041229247,59.8,12.74,30.678,30.69,30.67
2.0,10,10,True,5,10,100,0.02,0.6,4,5,gs,5,0.0939286478605274,0.11953851731243531,0.07685540155925545,60.0,29.804170861244202,59.8,12.72,23.006,22.645,23.24666666666667
2.0,10,10,True,5,10,100,0.02,0.6,4,5,gs,6,0.0965637754147035,0.12523512348771657,0.07744954336602813,60.0,30.585925159454344,59.8,12.62,16.206,16.44,16.05
2.0,10,10,True,5,10,100,0.02,0.6,4,5,gs,7,0.09869208809702375,0.12836588375438623,0.07890955765878208,60.0,31.346374168395997,60.0,11.88,10.34,12.165,9.123333333333333
2.0,10,10,True,5,10,100,0.02,0.6,4,5,gs,8,0.09858416625168118,0.1225946506553361,0.08257717664924456,60.0,32.06869777202606,54.2,7.98,7.792000000000001,11.31,5.446666666666666
2.0,10,10,True,5,10,100,0.02,0.6,4,5,gs,9,0.0998095330508194,0.11755828059953652,0.08797703468500798,60.0,32.69231035709381,47.8,4.78,3.6140000000000003,6.86,1.45
2.0,10,10,True,5,10,100,0.02,0.6,4,5,gs,10,0.10006059545046975,0.10010250547385781,0.10003265543487772,60.0,33.03907416343689,0.0,0.0,0.0,0.0,0.0
2.0,10,10,True,5,10,100,0.02,0.6,4,5,boston,10,0.10002585364854534,0.10081107825249531,0.09950237057924535,60.0,27.635117015838624,0.0,0.0,0.0,0.0,0.0
3.0,15,6,True,5,10,100,0.02,0.6,6,5,gs,1,0.1313507956893198,0.08303136293087554,0.16356375086161595,60.0,12.538566670417786,50.26666666666667,11.96,45.46666666666667,71.30333333333334,28.24222222222222
3.0,15,6,True,5,10,100,0.02,0.6,6,5,gs,2,0.14525148733913018,0.14306074728545995,0.14671198070824368,60.0,12.96669424057007,56.66666666666667,16.2,32.512,46.79333333333333,22.991111111111113
3.0,15,6,True,5,10,100,0.02,0.6,6,5,gs,3,0.15535362869311573,0.17601875896351804,0.14157687517951417,60.0,13.575846567153931,56.53333333333333,17.3,19.634666666666668,29.493333333333336,13.062222222222221
3.0,15,6,True,5,10,100,0.02,0.6,6,5,gs,4,0.15812003070435526,0.1840959998581823,0.1408027179351372,60.0,14.164947218894959,57.2,14.18,12.110666666666667,22.523333333333333,5.1688888888888895
3.0,15,6,True,5,10,100,0.02,0.6,6,5,gs,5,0.1595376563765275,0.18317225967272757,0.14378125417906076,60.0,14.646327977180482,51.86666666666667,7.78,6.032,12.65,1.62
3.0,15,6,True,5,10,100,0.02,0.6,6,5,gs,6,0.1610740063541925,0.16130816603683543,0.16091789989909722,60.0,14.86255949497223,0.0,0.0,0.0,0.0,0.0
3.0,15,6,True,5,10,100,0.02,0.6,6,5,boston,6,0.16129719323206998,0.1614635065125865,0.16118631771172567,60.0,12.40512433052063,0.0,0.0,0.0,0.0,0.0
4.0,10,3,True,5,10,100,0.02,0.6,4,5,gs,1,0.3335659295593554,0.31478884031045007,0.3460839890586256,60.0,1.9238882541656495,35.0,3.78,26.2,39.695,17.203333333333333
4.0,10,3,True,5,10,100,0.02,0.6,4,5,gs,2,0.35834757915817483,0.37940621690323506,0.3443084873281347,60.0,2.0629851055145263,41.8,4.18,9.118,16.425,4.246666666666667
4.0,10,3,True,5,10,100,0.02,0.6,4,5,gs,3,0.3559263056490542,0.35412768295444813,0.3571253874454583,60.0,2.151298484802246,0.0,0.0,0.0,0.0,0.0
4.0,10,3,True,5,10,100,0.02,0.6,4,5,boston,3,0.35599883895674816,0.3536541457942715,0.3575619677317325,60.0,1.8568844985961914,0.0,0.0,0.0,0.0,0.0
5.0,30,7,True,5,10,100,0.02,0.6,12,5,gs,1,0.1047104215463661,0.04813176864837179,0.1424295234783623,60.0,23.012124600410463,49.86666666666667,28.16,49.2,81.17666666666668,27.88222222222222
5.0,30,7,True,5,10,100,0.02,0.6,12,5,gs,2,0.12648271512823117,0.08890529209438217,0.15153433048413054,60.0,23.689987816810607,59.93333333333333,39.14,31.504,62.59166666666667,10.77888888888889
