experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,average_utility,average_utility_manipulator_students,possible_percentage_manipulators,average_runtime,average_utility_fair_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,1,0.12146103473396146,0.12146103473396146,100.0,25.118644065856934,,63.2,23.14,41.6,,41.6
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,2,0.1368827056760772,0.1368827056760772,100.0,25.866906156539915,,77.0,31.7,27.409000000000002,,27.409000000000002
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,3,0.1427617870782437,0.1427617870782437,100.0,26.949959053993226,,72.6,31.34,17.647000000000002,,17.647000000000002
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,4,0.14468441510952068,0.14468441510952068,100.0,28.087186012268067,,67.6,28.24,11.527999999999999,,11.527999999999999
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,5,0.1445277530285758,0.1445277530285758,100.0,29.312052965164185,,66.1,20.9,7.496,,7.496
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,6,0.1438775126332369,0.1438775126332369,100.0,30.10036148071289,,53.7,10.74,4.63,,4.63
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,7,0.14404680617660445,0.14404680617660445,100.0,30.37965896129608,,0.0,0.0,0.0,,0.0
1.0,20,7,True,5,10,100,0.02,1.0,0,6,boston,7,0.14400917239379343,0.14400917239379343,100.0,24.92865014076233,,0.0,0.0,0.0,,0.0
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,1,0.06293391180440902,0.06293391180440902,100.0,30.076150527000426,,54.2,8.82,61.2,,61.2
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,2,0.07037174076113431,0.07037174076113431,100.0,30.408724484443663,,59.8,10.54,53.562,,53.562
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,3,0.08234627825365905,0.08234627825365905,100.0,30.895515098571778,,60.0,11.92,41.266000000000005,,41.266000000000005
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,4,0.08998299796595458,0.08998299796595458,100.0,31.526978001594543,,60.4,12.52,30.816,,30.816
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,5,0.09547511884425973,0.09547511884425973,100.0,32.39652974128723,,61.4,13.12,22.294,,22.294
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,6,0.0967973510346371,0.0967973510346371,100.0,33.26930188655853,,62.0,12.86,16.028,,16.028
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,7,0.09897160120944944,0.09897160120944944,100.0,34.19651062488556,,61.2,11.6,10.594000000000001,,10.594000000000001
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,8,0.09978312491157157,0.09978312491157157,100.0,35.03197648525238,,55.8,8.18,7.303999999999999,,7.303999999999999
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,9,0.10083024733800167,0.10083024733800167,100.0,35.75925016880036,,49.8,4.98,3.3760000000000003,,3.3760000000000003
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,10,0.1000664107427534,0.1000664107427534,100.0,36.11565365791321,,0.0,0.0,0.0,,0.0
2.0,10,10,True,5,10,100,0.02,1.0,0,5,boston,10,0.09985471963122478,0.09985471963122478,100.0,29.943154067993163,,0.0,0.0,0.0,,0.0
3.0,15,6,True,5,10,100,0.02,1.0,0,5,gs,1,0.14198673012837806,0.14198673012837806,100.0,16.300171623229982,,70.0,20.4,35.733333333333334,,35.733333333333334
3.0,15,6,True,5,10,100,0.02,1.0,0,5,gs,2,0.16007048394301346,0.16007048394301346,100.0,16.93865339756012,,81.86666666666667,25.24,18.657333333333334,,18.657333333333334
3.0,15,6,True,5,10,100,0.02,1.0,0,5,gs,3,0.16390609573864257,0.16390609573864257,100.0,17.778540892601015,,74.53333333333333,21.28,11.429333333333334,,11.429333333333334
3.0,15,6,True,5,10,100,0.02,1.0,0,5,gs,4,0.16291820931524245,0.16291820931524245,100.0,18.503335814476014,,67.46666666666665,15.82,6.676,,6.676
3.0,15,6,True,5,10,100,0.02,1.0,0,5,gs,5,0.16217679251234768,0.16217679251234768,100.0,19.08940490245819,,56.0,8.4,3.06,,3.06
3.0,15,6,True,5,10,100,0.02,1.0,0,5,gs,6,0.1623426357158279,0.1623426357158279,100.0,19.343702173233034,,0.0,0.0,0.0,,0.0
3.0,15,6,True,5,10,100,0.02,1.0,0,5,boston,6,0.16221562588085056,0.16221562588085056,100.0,16.111510405540468,,0.0,0.0,0.0,,0.0
4.0,10,3,True,5,10,100,0.02,1.0,0,5,gs,1,0.3882144459982162,0.3882144459982162,100.0,2.8962982940673827,,38.8,3.9,16.0,,16.0
4.0,10,3,True,5,10,100,0.02,1.0,0,5,gs,2,0.40180211869252647,0.40180211869252647,100.0,3.0821838855743406,,44.2,4.42,5.288,,5.288
4.0,10,3,True,5,10,100,0.02,1.0,0,5,gs,3,0.3871499904031197,0.3871499904031197,100.0,3.2330839824676514,,0.0,0.0,0.0,,0.0
4.0,10,3,True,5,10,100,0.02,1.0,0,5,boston,3,0.38763627119116195,0.38763627119116195,100.0,2.817872323989868,,0.0,0.0,0.0,,0.0
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,1,0.11164966546259956,0.11164966546259956,100.0,26.442531752586365,,50.4,26.24,48.93333333333334,,48.93333333333334
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,2,0.12802564273442088,0.12802564273442088,100.0,27.149392976760865,,65.93333333333334,42.58,33.28133333333333,,33.28133333333333
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,3,0.1372118135189525,0.1372118135189525,100.0,28.289167876243592,,67.2,47.0,20.500666666666667,,20.500666666666667
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,4,0.14093503301431282,0.14093503301431282,100.0,29.564386353492736,,70.26666666666667,44.78,12.877333333333333,,12.877333333333333
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,5,0.14106857552517063,0.14106857552517063,100.0,30.686205863952637,,69.53333333333333,33.56,7.717333333333333,,7.717333333333333
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,6,0.13905047220422437,0.13905047220422437,100.0,31.465426831245424,,56.0,16.8,4.570666666666667,,4.570666666666667
5.0,30,7,True,5,10,100,0.02,1.0,0,5,gs,7,0.13933414124251875,0.13933414124251875,100.0,31.65585458278656,,0.0,0.0,0.0,,0.0
5.0,30,7,True,5,10,100,0.02,1.0,0,5,boston,7,0.13943774368667608,0.13943774368667608,100.0,26.250173082351683,,0.0,0.0,0.0,,0.0
