experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,average_utility,possible_percentage_manipulators,average_runtime,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,1,0.12656658780691557,100.0,100.16917734622956,0.0,0.12656658780691557,62.1,25.84,36.4,0.0,36.4
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,2,0.13662278442017217,100.0,102.19102397441864,0.0,0.13662278442017217,65.1,25.8,28.009,0.0,28.009
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,3,0.13810210644675275,100.0,104.69399112701416,0.0,0.13810210644675275,63.0,20.8,24.35,0.0,24.35
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,4,0.13931919818611033,100.0,107.56137966632843,0.0,0.13931919818611033,42.6,12.34,21.421999999999997,0.0,21.421999999999997
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,5,0.14369804908936976,100.0,111.86316777706146,0.0,0.14369804908936976,35.4,7.96,13.815,0.0,13.815
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,6,0.14630216159139625,100.0,116.56708894252777,0.0,0.14630216159139625,10.1,2.02,6.365000000000001,0.0,6.365000000000001
1.0,20,7,True,5,10,100,0.02,1.0,0,6,gs,7,0.14775774090820382,100.0,118.2315936756134,0.0,0.14775774090820382,0.0,0.0,0.0,0.0,0.0
1.0,20,7,True,5,10,100,0.02,1.0,0,6,boston,7,0.14777149883398258,100.0,99.09571503162384,0.0,0.14777149883398258,0.0,0.0,0.0,0.0,0.0
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,1,0.0642218011463988,100.0,133.32789241790772,0.0,0.0642218011463988,56.0,9.16,60.8,0.0,60.8
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,2,0.07157925490538909,100.0,134.54329625606536,0.0,0.07157925490538909,46.2,8.34,53.711999999999996,0.0,53.711999999999996
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,3,0.07525979740429597,100.0,135.91941488742827,0.0,0.07525979740429597,39.0,6.56,49.675999999999995,0.0,49.675999999999995
2.0,10,10,True,5,10,100,0.02,1.0,0,5,gs,4,0.081727617866096,100.0,137.64376019001008,0.0,0.081727617866096,34.2,4.74,43.348,0.0,43.348
