experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,average_utility,possible_percentage_manipulators,average_runtime,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
1.0,20,7,True,5,5,50,0.01,1.0,0,6,gs,1,0.1286134596205219,100.0,10.941006202697753,0.0,0.1286134596205219,71.4,25.08,37.6,0.0,37.6
1.0,20,7,True,5,5,50,0.01,1.0,0,6,gs,2,0.14768374754326,100.0,11.746381006240846,0.0,0.14768374754326,79.0,38.36,19.372,0.0,19.372
1.0,20,7,True,5,5,50,0.01,1.0,0,6,gs,3,0.1524444223955683,100.0,12.851648740768432,0.0,0.1524444223955683,77.4,37.72,12.360000000000003,0.0,12.360000000000003
1.0,20,7,True,5,5,50,0.01,1.0,0,6,gs,4,0.1527319305457758,100.0,13.971842555999755,0.0,0.1527319305457758,76.6,32.64,7.128000000000001,0.0,7.128000000000001
1.0,20,7,True,5,5,50,0.01,1.0,0,6,gs,5,0.15226985921435665,100.0,14.99798550605774,0.0,0.15226985921435665,70.2,22.76,4.848,0.0,4.848
1.0,20,7,True,5,5,50,0.01,1.0,0,6,gs,6,0.15049828814745284,100.0,15.67937120437622,0.0,0.15049828814745284,57.0,11.4,2.404,0.0,2.404
1.0,20,7,True,5,5,50,0.01,1.0,0,6,gs,7,0.15090540753745316,100.0,15.854771518707276,0.0,0.15090540753745316,0.0,0.0,0.0,0.0,0.0
1.0,20,7,True,5,5,50,0.01,1.0,0,6,boston,7,0.15114605574157428,100.0,10.7722904586792,0.0,0.15114605574157428,0.0,0.0,0.0,0.0,0.0
2.0,10,10,True,5,5,50,0.01,1.0,0,5,gs,1,0.06352115089341764,100.0,11.795500431060791,0.0,0.06352115089341764,60.0,10.0,60.0,0.0,60.0
2.0,10,10,True,5,5,50,0.01,1.0,0,5,gs,2,0.07515956669556752,100.0,12.041844177246094,0.0,0.07515956669556752,60.4,12.64,48.728,0.0,48.728
