experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
1.0,20,7,True,5,10,100,0.01,1.0,0,6,gs,1,100.0,34.84504991054535,0.1279594012316739,0.0,0.1279594012316739,70.9,20.56,41.3,0.0,41.3
1.0,20,7,True,5,10,100,0.01,1.0,0,6,gs,2,100.0,35.87707838058472,0.15297011695651103,0.0,0.15297011695651103,69.3,32.34,20.46,0.0,20.46
1.0,20,7,True,5,10,100,0.01,1.0,0,6,gs,3,100.0,37.31917604923248,0.15691265032717103,0.0,0.15691265032717103,74.4,34.52,12.529000000000002,0.0,12.529000000000002
1.0,20,7,True,5,10,100,0.01,1.0,0,6,gs,4,100.0,38.79046766757965,0.15910441508696765,0.0,0.15910441508696765,73.1,30.24,7.462000000000001,0.0,7.462000000000001
1.0,20,7,True,5,10,100,0.01,1.0,0,6,gs,5,100.0,40.25637288570404,0.15655530034403187,0.0,0.15655530034403187,66.9,20.92,4.663,0.0,4.663
1.0,20,7,True,5,10,100,0.01,1.0,0,6,gs,6,100.0,41.34814468860626,0.1559429671611106,0.0,0.1559429671611106,54.2,10.84,2.4730000000000003,0.0,2.4730000000000003
1.0,20,7,True,5,10,100,0.01,1.0,0,6,gs,7,100.0,41.778563942909244,0.1558223000922171,0.0,0.1558223000922171,0.0,0.0,0.0,0.0,0.0
1.0,20,7,True,5,10,100,0.01,1.0,0,6,boston,7,100.0,34.5786781167984,0.15582174540895924,0.0,0.15582174540895924,0.0,0.0,0.0,0.0,0.0
2.0,10,10,True,5,10,100,0.01,1.0,0,10,gs,1,100.0,36.96893870830536,0.06445700649930132,0.0,0.06445700649930132,59.8,9.96,60.0,0.0,60.0
2.0,10,10,True,5,10,100,0.01,1.0,0,10,gs,2,100.0,37.36117033004761,0.07727615332613026,0.0,0.07727615332613026,60.0,12.9,47.45399999999999,0.0,47.45399999999999
2.0,10,10,True,5,10,100,0.01,1.0,0,10,gs,3,100.0,37.98113403797149,0.08608445175777167,0.0,0.08608445175777167,66.8,15.18,36.738,0.0,36.738
2.0,10,10,True,5,10,100,0.01,1.0,0,10,gs,4,100.0,38.7587398147583,0.09231497521391141,0.0,0.09231497521391141,67.6,14.74,28.374000000000002,0.0,28.374000000000002
2.0,10,10,True,5,10,100,0.01,1.0,0,10,gs,5,100.0,39.67358793258667,0.09555710401154015,0.0,0.09555710401154015,68.8,14.14,21.894000000000002,0.0,21.894000000000002
2.0,10,10,True,5,10,100,0.01,1.0,0,10,gs,6,100.0,40.71543807983399,0.0984727100304291,0.0,0.0984727100304291,69.4,14.34,14.542,0.0,14.542
2.0,10,10,True,5,10,100,0.01,1.0,0,10,gs,7,100.0,41.68908702373505,0.09936150071135995,0.0,0.09936150071135995,68.6,12.98,9.192,0.0,9.192
2.0,10,10,True,5,10,100,0.01,1.0,0,10,gs,8,100.0,42.67615762233734,0.10029207858773624,0.0,0.10029207858773624,59.8,9.16,6.308000000000001,0.0,6.308000000000001
2.0,10,10,True,5,10,100,0.01,1.0,0,10,gs,9,100.0,43.42061691761017,0.09970055769075957,0.0,0.09970055769075957,50.0,5.0,3.278,0.0,3.278
2.0,10,10,True,5,10,100,0.01,1.0,0,10,gs,10,100.0,43.88513090133667,0.09988648968709443,0.0,0.09988648968709443,0.0,0.0,0.0,0.0,0.0
2.0,10,10,True,5,10,100,0.01,1.0,0,10,boston,10,100.0,36.779774074554446,0.10003676911283725,0.0,0.10003676911283725,0.0,0.0,0.0,0.0,0.0
3.0,15,6,True,5,10,100,0.01,1.0,0,5,gs,1,100.0,23.155496759414675,0.13370876121100367,0.0,0.13370876121100367,66.13333333333333,17.08,43.33333333333333,0.0,43.33333333333333
3.0,15,6,True,5,10,100,0.01,1.0,0,5,gs,2,100.0,23.97908538341522,0.15077205693906506,0.0,0.15077205693906506,72.66666666666666,23.22,26.465333333333334,0.0,26.465333333333334
3.0,15,6,True,5,10,100,0.01,1.0,0,5,gs,3,100.0,25.127492480278015,0.15974751149689675,0.0,0.15974751149689675,69.46666666666665,23.52,13.481333333333334,0.0,13.481333333333334
3.0,15,6,True,5,10,100,0.01,1.0,0,5,gs,4,100.0,26.24700129032135,0.159660246712471,0.0,0.159660246712471,76.53333333333333,18.88,7.2973333333333334,0.0,7.2973333333333334
3.0,15,6,True,5,10,100,0.01,1.0,0,5,gs,5,100.0,27.152559022903443,0.1581713267036492,0.0,0.1581713267036492,61.2,9.18,4.074666666666667,0.0,4.074666666666667
3.0,15,6,True,5,10,100,0.01,1.0,0,5,gs,6,100.0,27.513862166404724,0.15702475633285756,0.0,0.15702475633285756,0.0,0.0,0.0,0.0,0.0
3.0,15,6,True,5,10,100,0.01,1.0,0,5,boston,6,100.0,22.8718603849411,0.15714992670009892,0.0,0.15714992670009892,0.0,0.0,0.0,0.0,0.0
4.0,10,3,True,5,10,100,0.01,1.0,0,5,gs,1,100.0,3.310173635482788,0.3528795788212768,0.0,0.3528795788212768,60.4,7.04,18.2,0.0,18.2
4.0,10,3,True,5,10,100,0.01,1.0,0,5,gs,2,100.0,3.5550387334823608,0.34949612170779465,0.0,0.34949612170779465,54.2,5.42,5.69,0.0,5.69
4.0,10,3,True,5,10,100,0.01,1.0,0,5,gs,3,100.0,3.694027986526489,0.3318419736798788,0.0,0.3318419736798788,0.0,0.0,0.0,0.0,0.0
4.0,10,3,True,5,10,100,0.01,1.0,0,5,boston,3,100.0,3.1872674942016603,0.33181493564231074,0.0,0.33181493564231074,0.0,0.0,0.0,0.0,0.0
5.0,30,7,True,5,10,100,0.01,1.0,0,5,gs,1,100.0,50.22074229717255,0.12131283480177699,0.0,0.12131283480177699,66.46666666666667,47.6,37.333333333333336,0.0,37.333333333333336
5.0,30,7,True,5,10,100,0.01,1.0,0,5,gs,2,100.0,51.89579308509827,0.13624685036083461,0.0,0.13624685036083461,84.46666666666665,66.24,19.956,0.0,19.956
5.0,30,7,True,5,10,100,0.01,1.0,0,5,gs,3,100.0,53.976475429534915,0.13959186908851232,0.0,0.13959186908851232,85.33333333333334,65.02,11.545333333333334,0.0,11.545333333333334
5.0,30,7,True,5,10,100,0.01,1.0,0,5,gs,4,100.0,56.20325851917267,0.13886338994345646,0.0,0.13886338994345646,79.66666666666667,51.56,8.012,0.0,8.012
5.0,30,7,True,5,10,100,0.01,1.0,0,5,gs,5,100.0,58.295667386054994,0.1372050391031514,0.0,0.1372050391031514,71.33333333333333,35.26,5.27,0.0,5.27
5.0,30,7,True,5,10,100,0.01,1.0,0,5,gs,6,100.0,59.73642462253571,0.13654069500088586,0.0,0.13654069500088586,60.0,18.0,3.220666666666667,0.0,3.220666666666667
5.0,30,7,True,5,10,100,0.01,1.0,0,5,gs,7,100.0,60.114217257499696,0.13639376295808725,0.0,0.13639376295808725,0.0,0.0,0.0,0.0,0.0
5.0,30,7,True,5,10,100,0.01,1.0,0,5,boston,7,100.0,49.706519756317135,0.1362545633191271,0.0,0.1362545633191271,0.0,0.0,0.0,0.0,0.0
6.0,18,5,True,5,10,100,0.01,1.0,0,5,gs,1,100.0,13.820146470069885,0.19561358247612617,0.0,0.19561358247612617,80.11111111111111,22.44,26.22222222222222,0.0,26.22222222222222
6.0,18,5,True,5,10,100,0.01,1.0,0,5,gs,2,100.0,14.530078401565552,0.20563331233779375,0.0,0.20563331233779375,72.22222222222223,22.76,12.584444444444445,0.0,12.584444444444445
6.0,18,5,True,5,10,100,0.01,1.0,0,5,gs,3,100.0,15.303936047554016,0.2047833121596008,0.0,0.2047833121596008,72.33333333333333,19.68,6.464444444444444,0.0,6.464444444444444
6.0,18,5,True,5,10,100,0.01,1.0,0,5,gs,4,100.0,15.924832262992858,0.20031619051782865,0.0,0.20031619051782865,60.66666666666667,10.92,3.2833333333333337,0.0,3.2833333333333337
6.0,18,5,True,5,10,100,0.01,1.0,0,5,gs,5,100.0,16.22405664920807,0.2006974854901118,0.0,0.2006974854901118,0.0,0.0,0.0,0.0,0.0
6.0,18,5,True,5,10,100,0.01,1.0,0,5,boston,5,100.0,13.573440823554993,0.20049962499238005,0.0,0.20049962499238005,0.0,0.0,0.0,0.0,0.0
7.0,30,4,True,5,10,100,0.01,1.0,0,5,gs,1,100.0,10.546760873794556,0.21830534515059952,0.0,0.21830534515059952,72.06666666666666,35.44,30.333333333333336,0.0,30.333333333333336
7.0,30,4,True,5,10,100,0.01,1.0,0,5,gs,2,100.0,11.332903509140015,0.22614339965509958,0.0,0.22614339965509958,67.66666666666666,33.28,13.466,0.0,13.466
7.0,30,4,True,5,10,100,0.01,1.0,0,5,gs,3,100.0,11.937920465469361,0.22252299010169463,0.0,0.22252299010169463,66.46666666666667,19.94,5.48,0.0,5.48
7.0,30,4,True,5,10,100,0.01,1.0,0,5,gs,4,100.0,12.174300560951233,0.21591590308284572,0.0,0.21591590308284572,0.0,0.0,0.0,0.0,0.0
7.0,30,4,True,5,10,100,0.01,1.0,0,5,boston,4,100.0,10.18950258731842,0.21611517763741253,0.0,0.21611517763741253,0.0,0.0,0.0,0.0,0.0
8.0,20,10,True,5,10,100,0.01,1.0,0,7,gs,1,100.0,73.42658164024353,0.0707873812810863,0.0,0.0707873812810863,71.9,29.8,53.2,0.0,53.2
8.0,20,10,True,5,10,100,0.01,1.0,0,7,gs,2,100.0,74.50597598552704,0.08616338917918656,0.0,0.08616338917918656,76.0,42.52,36.256,0.0,36.256
8.0,20,10,True,5,10,100,0.01,1.0,0,7,gs,3,100.0,76.120619597435,0.09267590353754927,0.0,0.09267590353754927,80.2,47.9,25.853,0.0,25.853
8.0,20,10,True,5,10,100,0.01,1.0,0,7,gs,4,100.0,77.93816759109497,0.0954440153328782,0.0,0.0954440153328782,78.3,46.02,20.077,0.0,20.077
8.0,20,10,True,5,10,100,0.01,1.0,0,7,gs,5,100.0,80.1724941110611,0.09784833396174417,0.0,0.09784833396174417,79.3,45.42,13.642000000000001,0.0,13.642000000000001
8.0,20,10,True,5,10,100,0.01,1.0,0,7,gs,6,100.0,82.42514605045318,0.09857988449393108,0.0,0.09857988449393108,77.1,38.52,9.814,0.0,9.814
8.0,20,10,True,5,10,100,0.01,1.0,0,7,gs,7,100.0,84.65268857955932,0.09900258693834027,0.0,0.09900258693834027,72.0,30.4,6.917000000000001,0.0,6.917000000000001
8.0,20,10,True,5,10,100,0.01,1.0,0,7,gs,8,100.0,86.44945545196533,0.09932707287697168,0.0,0.09932707287697168,67.5,21.1,4.306,0.0,4.306
8.0,20,10,True,5,10,100,0.01,1.0,0,7,gs,9,100.0,87.81575761795044,0.09879344450903353,0.0,0.09879344450903353,53.0,10.6,1.979,0.0,1.979
8.0,20,10,True,5,10,100,0.01,1.0,0,7,gs,10,100.0,88.36140502452851,0.09891394058702704,0.0,0.09891394058702704,0.0,0.0,0.0,0.0,0.0
8.0,20,10,True,5,10,100,0.01,1.0,0,7,boston,10,100.0,73.08921491622925,0.0989340906010996,0.0,0.0989340906010996,0.0,0.0,0.0,0.0,0.0
9.0,15,4,True,5,10,100,0.01,1.0,0,3,gs,1,100.0,8.799688034057617,0.25208974578389737,0.0,0.25208974578389737,64.66666666666667,13.26,24.8,0.0,24.8
9.0,15,4,True,5,10,100,0.01,1.0,0,3,gs,2,100.0,9.371136012077331,0.2583339031649544,0.0,0.2583339031649544,60.26666666666666,13.58,11.82,0.0,11.82
9.0,15,4,True,5,10,100,0.01,1.0,0,3,gs,3,100.0,9.923627772331237,0.2546541139289952,0.0,0.2546541139289952,65.6,9.84,4.66,0.0,4.66
9.0,15,4,True,5,10,100,0.01,1.0,0,3,gs,4,100.0,10.159174962043762,0.25173807603489323,0.0,0.25173807603489323,0.0,0.0,0.0,0.0,0.0
9.0,15,4,True,5,10,100,0.01,1.0,0,3,boston,4,100.0,8.567223815917968,0.25226385171594484,0.0,0.25226385171594484,0.0,0.0,0.0,0.0,0.0
10.0,30,5,True,5,10,100,0.01,1.0,0,4,gs,1,100.0,17.459703035354615,0.1755475563004144,0.0,0.1755475563004144,65.4,32.98,33.13333333333333,0.0,33.13333333333333
10.0,30,5,True,5,10,100,0.01,1.0,0,4,gs,2,100.0,18.51580826282501,0.20168401768851038,0.0,0.20168401768851038,83.6,48.12,10.58,0.0,10.58
10.0,30,5,True,5,10,100,0.01,1.0,0,4,gs,3,100.0,19.63791049003601,0.20489608631314415,0.0,0.20489608631314415,83.2,40.42,4.380000000000001,0.0,4.380000000000001
10.0,30,5,True,5,10,100,0.01,1.0,0,4,gs,4,100.0,20.4370680475235,0.20002257546095215,0.0,0.20002257546095215,67.19999999999999,20.16,1.9526666666666668,0.0,1.9526666666666668
10.0,30,5,True,5,10,100,0.01,1.0,0,4,gs,5,100.0,20.676463284492492,0.19962609468222609,0.0,0.19962609468222609,0.0,0.0,0.0,0.0,0.0
10.0,30,5,True,5,10,100,0.01,1.0,0,4,boston,5,100.0,17.13471227645874,0.19973023479271873,0.0,0.19973023479271873,0.0,0.0,0.0,0.0,0.0
11.0,24,5,True,5,10,100,0.01,1.0,0,3,gs,1,100.0,16.33784134864807,0.20338340131469565,0.0,0.20338340131469565,60.0,23.2,29.666666666666664,0.0,29.666666666666664
11.0,24,5,True,5,10,100,0.01,1.0,0,3,gs,2,100.0,17.183870477676393,0.2197508920626368,0.0,0.2197508920626368,75.91666666666667,31.86,13.0025,0.0,13.0025
11.0,24,5,True,5,10,100,0.01,1.0,0,3,gs,3,100.0,18.154558424949645,0.22005401323257684,0.0,0.22005401323257684,65.16666666666667,25.2,6.84,0.0,6.84
11.0,24,5,True,5,10,100,0.01,1.0,0,3,gs,4,100.0,18.946367592811583,0.21648330711166536,0.0,0.21648330711166536,63.25,15.18,3.129166666666667,0.0,3.129166666666667
11.0,24,5,True,5,10,100,0.01,1.0,0,3,gs,5,100.0,19.249113640785218,0.21372761517591918,0.0,0.21372761517591918,0.0,0.0,0.0,0.0,0.0
11.0,24,5,True,5,10,100,0.01,1.0,0,3,boston,5,100.0,16.04876642227173,0.2136389184970659,0.0,0.2136389184970659,0.0,0.0,0.0,0.0,0.0
12.0,18,3,True,5,10,100,0.01,1.0,0,2,gs,1,100.0,5.072570233345032,0.3650157441005853,0.0,0.3650157441005853,35.0,8.16,19.88888888888889,0.0,19.88888888888889
12.0,18,3,True,5,10,100,0.01,1.0,0,2,gs,2,100.0,5.498667540550232,0.38269231743621945,0.0,0.38269231743621945,54.66666666666667,9.84,4.148888888888889,0.0,4.148888888888889
12.0,18,3,True,5,10,100,0.01,1.0,0,2,gs,3,100.0,5.7081566286087035,0.3718524763667612,0.0,0.3718524763667612,0.0,0.0,0.0,0.0,0.0
12.0,18,3,True,5,10,100,0.01,1.0,0,2,boston,3,100.0,4.86650251865387,0.3721297985954689,0.0,0.3721297985954689,0.0,0.0,0.0,0.0,0.0
13.0,30,4,True,5,10,100,0.01,1.0,0,3,gs,1,100.0,12.184590878486633,0.23441801602006823,0.0,0.23441801602006823,64.8,30.52,26.933333333333334,0.0,26.933333333333334
13.0,30,4,True,5,10,100,0.01,1.0,0,3,gs,2,100.0,13.034534912109375,0.250686545826064,0.0,0.250686545826064,81.93333333333334,35.16,8.472000000000001,0.0,8.472000000000001
13.0,30,4,True,5,10,100,0.01,1.0,0,3,gs,3,100.0,13.72890161037445,0.24164947078202162,0.0,0.24164947078202162,65.8,19.74,3.9406666666666665,0.0,3.9406666666666665
13.0,30,4,True,5,10,100,0.01,1.0,0,3,gs,4,100.0,13.985922865867614,0.2369497838349083,0.0,0.2369497838349083,0.0,0.0,0.0,0.0,0.0
13.0,30,4,True,5,10,100,0.01,1.0,0,3,boston,4,100.0,11.75990846157074,0.23677997262955358,0.0,0.23677997262955358,0.0,0.0,0.0,0.0,0.0
14.0,40,5,True,5,10,100,0.01,1.0,0,3,gs,1,100.0,24.795152916908265,0.21456955492964006,0.0,0.21456955492964006,64.6,44.62,23.3,0.0,23.3
14.0,40,5,True,5,10,100,0.01,1.0,0,3,gs,2,100.0,26.19326747894287,0.2281884450833904,0.0,0.2281884450833904,81.05,55.9,8.5375,0.0,8.5375
14.0,40,5,True,5,10,100,0.01,1.0,0,3,gs,3,100.0,27.709019861221314,0.2261608783973582,0.0,0.2261608783973582,69.3,42.6,4.185,0.0,4.185
14.0,40,5,True,5,10,100,0.01,1.0,0,3,gs,4,100.0,28.898167228698732,0.22000290923551621,0.0,0.22000290923551621,56.55,22.62,2.0620000000000003,0.0,2.0620000000000003
14.0,40,5,True,5,10,100,0.01,1.0,0,3,gs,5,100.0,29.183579797744752,0.2180709066134303,0.0,0.2180709066134303,0.0,0.0,0.0,0.0,0.0
14.0,40,5,True,5,10,100,0.01,1.0,0,3,boston,5,100.0,24.279173760414125,0.21816075660950607,0.0,0.21816075660950607,0.0,0.0,0.0,0.0,0.0
