experiment_number,num_students,num_schools,capacities,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,num_manipulations,algorithm,k,probabilities,utilities,average_utility,average_percentage_manipulators,average_percentage_unassigned_students,average_number_manipulations
1.0,20,7,[1 1 3 7 5 1 2],True,5,10,100,0.02,6,boston,7,"[[0.047 0.055 0.144 0.348 0.262 0.054 0.09  0.   ]
 [0.058 0.049 0.142 0.352 0.238 0.054 0.107 0.   ]
 [0.06  0.04  0.15  0.358 0.242 0.045 0.105 0.   ]
 [0.071 0.036 0.15  0.379 0.232 0.047 0.085 0.   ]
 [0.044 0.05  0.168 0.339 0.262 0.04  0.097 0.   ]
 [0.049 0.048 0.175 0.334 0.259 0.051 0.084 0.   ]
 [0.043 0.043 0.146 0.352 0.255 0.049 0.112 0.   ]
 [0.036 0.05  0.151 0.373 0.236 0.049 0.105 0.   ]
 [0.063 0.054 0.15  0.321 0.267 0.054 0.091 0.   ]
 [0.042 0.048 0.146 0.353 0.267 0.056 0.088 0.   ]
 [0.05  0.054 0.167 0.337 0.24  0.049 0.103 0.   ]
 [0.037 0.054 0.156 0.336 0.238 0.052 0.127 0.   ]
 [0.048 0.042 0.154 0.36  0.249 0.052 0.095 0.   ]
 [0.044 0.063 0.136 0.382 0.227 0.052 0.096 0.   ]
 [0.055 0.05  0.15  0.359 0.258 0.042 0.086 0.   ]
 [0.047 0.054 0.147 0.341 0.268 0.045 0.098 0.   ]
 [0.054 0.04  0.139 0.356 0.252 0.053 0.106 0.   ]
 [0.048 0.061 0.133 0.332 0.26  0.052 0.114 0.   ]
 [0.056 0.055 0.141 0.347 0.245 0.067 0.089 0.   ]
 [0.048 0.054 0.155 0.341 0.243 0.037 0.122 0.   ]]","[0.12479952 0.13120448 0.13787505 0.13274092 0.13824294 0.13633555
 0.13106397 0.13998126 0.13389787 0.12776795 0.12870792 0.13066011
 0.1286438  0.13806637 0.14518769 0.13698324 0.12626166 0.13405725
 0.13584672 0.12802529]",0.1333174782082141,0.0,0.0,0.0
1.0,20,7,[1 1 3 7 5 1 2],True,5,10,100,0.02,6,gs,1,"[[0.058 0.109 0.251 0.087 0.    0.    0.    0.495]
 [0.074 0.038 0.08  0.431 0.    0.    0.    0.377]
 [0.043 0.    0.136 0.516 0.    0.    0.    0.305]
 [0.051 0.108 0.226 0.185 0.1   0.    0.    0.33 ]
 [0.016 0.044 0.214 0.431 0.    0.    0.    0.295]
 [0.047 0.047 0.063 0.455 0.1   0.    0.    0.288]
 [0.024 0.083 0.123 0.262 0.2   0.    0.    0.308]
 [0.049 0.045 0.056 0.542 0.    0.    0.    0.308]
 [0.044 0.106 0.075 0.436 0.    0.    0.    0.339]
 [0.067 0.041 0.    0.483 0.    0.    0.    0.409]
 [0.063 0.056 0.305 0.181 0.    0.    0.    0.395]
 [0.084 0.035 0.065 0.255 0.1   0.    0.    0.461]
 [0.    0.126 0.212 0.26  0.1   0.    0.    0.302]
 [0.05  0.    0.271 0.338 0.    0.    0.    0.341]
 [0.    0.    0.    0.781 0.1   0.    0.    0.119]
 [0.045 0.038 0.221 0.265 0.1   0.    0.    0.331]
 [0.066 0.    0.295 0.163 0.    0.    0.    0.476]
 [0.057 0.097 0.    0.425 0.    0.    0.    0.421]
 [0.059 0.    0.141 0.413 0.    0.    0.    0.387]
 [0.103 0.027 0.266 0.091 0.    0.    0.    0.513]]","[0.11746168 0.11428425 0.11042332 0.13049647 0.13878748 0.12402381
 0.12588601 0.13515373 0.12925722 0.10689694 0.12505616 0.10498373
 0.12865324 0.11964822 0.14148752 0.12489446 0.10669436 0.11584282
 0.11381783 0.10527492]",0.12095120928972751,77.0,36.0,38.3
1.0,20,7,[1 1 3 7 5 1 2],True,5,10,100,0.02,6,gs,2,"[[0.07  0.105 0.235 0.23  0.068 0.    0.    0.292]
 [0.062 0.038 0.146 0.378 0.163 0.044 0.    0.169]
 [0.    0.    0.132 0.531 0.208 0.048 0.    0.081]
 [0.079 0.017 0.209 0.207 0.24  0.062 0.    0.186]
 [0.017 0.049 0.177 0.425 0.165 0.    0.    0.167]
 [0.032 0.052 0.138 0.393 0.194 0.    0.    0.191]
 [0.015 0.053 0.155 0.388 0.206 0.    0.    0.183]
 [0.082 0.029 0.194 0.345 0.189 0.    0.    0.161]
 [0.092 0.055 0.03  0.402 0.16  0.107 0.    0.154]
 [0.115 0.05  0.084 0.24  0.291 0.    0.    0.22 ]
 [0.031 0.062 0.183 0.341 0.203 0.    0.    0.18 ]
 [0.078 0.079 0.136 0.31  0.217 0.    0.    0.18 ]
 [0.016 0.078 0.18  0.302 0.152 0.04  0.    0.232]
 [0.    0.    0.193 0.47  0.215 0.001 0.    0.121]
 [0.    0.047 0.047 0.461 0.371 0.    0.    0.074]
 [0.013 0.032 0.218 0.374 0.216 0.041 0.    0.106]
 [0.066 0.052 0.147 0.213 0.279 0.084 0.    0.159]
 [0.076 0.045 0.136 0.363 0.162 0.    0.    0.218]
 [0.047 0.054 0.153 0.376 0.167 0.    0.    0.203]
 [0.109 0.103 0.107 0.251 0.077 0.078 0.    0.275]]","[0.14454283 0.14168194 0.13379644 0.1260109  0.14665199 0.1346774
 0.1312123  0.1549314  0.14256701 0.13777737 0.1417695  0.14763376
 0.12432255 0.13466439 0.14219072 0.14696153 0.13866824 0.13606674
 0.14015463 0.13805473]",0.1392168182546296,88.5,17.759999999999998,45.3
1.0,20,7,[1 1 3 7 5 1 2],True,5,10,100,0.02,6,gs,3,"[[0.07  0.111 0.193 0.257 0.124 0.057 0.025 0.163]
 [0.027 0.059 0.138 0.364 0.3   0.007 0.02  0.085]
 [0.047 0.008 0.063 0.387 0.381 0.031 0.009 0.074]
 [0.091 0.064 0.136 0.315 0.261 0.01  0.003 0.12 ]
 [0.019 0.045 0.166 0.383 0.197 0.072 0.018 0.1  ]
 [0.077 0.073 0.148 0.296 0.216 0.076 0.008 0.106]
 [0.039 0.037 0.107 0.358 0.355 0.023 0.006 0.075]
 [0.049 0.039 0.17  0.39  0.156 0.    0.06  0.136]
 [0.039 0.028 0.121 0.398 0.182 0.114 0.018 0.1  ]
 [0.107 0.07  0.136 0.302 0.252 0.005 0.006 0.122]
 [0.035 0.118 0.25  0.297 0.063 0.056 0.005 0.176]
 [0.057 0.044 0.135 0.309 0.345 0.017 0.018 0.075]
 [0.03  0.06  0.117 0.31  0.346 0.026 0.018 0.093]
 [0.05  0.013 0.127 0.414 0.316 0.    0.005 0.075]
 [0.028 0.01  0.203 0.409 0.243 0.006 0.    0.101]
 [0.053 0.036 0.197 0.381 0.189 0.    0.053 0.091]
 [0.04  0.058 0.131 0.278 0.285 0.094 0.012 0.102]
 [0.03  0.02  0.14  0.412 0.293 0.006 0.016 0.083]
 [0.055 0.053 0.161 0.374 0.181 0.013 0.054 0.109]
 [0.057 0.054 0.161 0.366 0.216 0.016 0.003 0.127]]","[0.14499614 0.1392344  0.1324422  0.14259727 0.14438076 0.14656615
 0.14043074 0.14786238 0.13406607 0.14554067 0.14469331 0.14443904
 0.13035048 0.13688149 0.14197301 0.14956201 0.13791626 0.13614274
 0.14410392 0.13593158]",0.14100553123492277,86.0,10.565,42.3
1.0,20,7,[1 1 3 7 5 1 2],True,5,10,100,0.02,6,gs,4,"[[0.042 0.028 0.11  0.354 0.293 0.052 0.023 0.098]
 [0.062 0.025 0.141 0.352 0.29  0.043 0.015 0.072]
 [0.068 0.045 0.136 0.356 0.249 0.036 0.017 0.093]
 [0.054 0.044 0.126 0.302 0.318 0.064 0.036 0.056]
 [0.039 0.061 0.172 0.335 0.25  0.045 0.019 0.079]
 [0.058 0.078 0.166 0.356 0.175 0.058 0.033 0.076]
 [0.023 0.039 0.129 0.367 0.306 0.044 0.009 0.083]
 [0.058 0.078 0.208 0.326 0.198 0.011 0.006 0.115]
 [0.028 0.019 0.093 0.368 0.348 0.064 0.032 0.048]
 [0.057 0.039 0.146 0.368 0.26  0.053 0.006 0.071]
 [0.107 0.053 0.129 0.345 0.137 0.101 0.062 0.066]
 [0.028 0.051 0.124 0.352 0.294 0.047 0.027 0.077]
 [0.013 0.022 0.128 0.408 0.254 0.084 0.04  0.051]
 [0.055 0.053 0.176 0.352 0.233 0.025 0.016 0.09 ]
 [0.046 0.044 0.208 0.35  0.232 0.    0.013 0.107]
 [0.053 0.092 0.223 0.305 0.188 0.005 0.014 0.12 ]
 [0.    0.004 0.091 0.419 0.334 0.087 0.029 0.036]
 [0.107 0.079 0.134 0.323 0.215 0.034 0.028 0.08 ]
 [0.042 0.059 0.161 0.353 0.233 0.042 0.015 0.095]
 [0.06  0.087 0.199 0.309 0.191 0.037 0.021 0.096]]","[0.12024274 0.13117326 0.138203   0.12736337 0.14031998 0.14625372
 0.12906411 0.14386072 0.12141893 0.13371311 0.13419544 0.13676686
 0.11844612 0.14183004 0.14337196 0.14339961 0.11329674 0.14876271
 0.13605852 0.14343031]",0.13455856177206,76.0,8.044999999999998,30.8
1.0,20,7,[1 1 3 7 5 1 2],True,5,10,100,0.02,6,gs,5,"[[0.016 0.018 0.092 0.377 0.29  0.09  0.093 0.024]
 [0.027 0.038 0.119 0.383 0.261 0.065 0.057 0.05 ]
 [0.045 0.066 0.178 0.357 0.227 0.036 0.011 0.08 ]
 [0.06  0.044 0.127 0.362 0.257 0.056 0.063 0.031]
 [0.048 0.07  0.162 0.351 0.229 0.053 0.046 0.041]
 [0.04  0.05  0.144 0.344 0.267 0.057 0.042 0.056]
 [0.072 0.05  0.139 0.351 0.241 0.038 0.064 0.045]
 [0.085 0.094 0.216 0.304 0.191 0.014 0.016 0.08 ]
 [0.028 0.036 0.125 0.369 0.273 0.064 0.056 0.049]
 [0.054 0.058 0.173 0.346 0.228 0.038 0.034 0.069]
 [0.034 0.027 0.16  0.345 0.272 0.052 0.054 0.056]
 [0.055 0.045 0.132 0.362 0.241 0.053 0.063 0.049]
 [0.026 0.022 0.123 0.374 0.28  0.067 0.062 0.046]
 [0.071 0.059 0.172 0.336 0.228 0.038 0.021 0.075]
 [0.071 0.077 0.216 0.326 0.214 0.018 0.    0.078]
 [0.083 0.063 0.185 0.313 0.217 0.044 0.027 0.068]
 [0.025 0.024 0.133 0.359 0.28  0.065 0.08  0.034]
 [0.087 0.084 0.171 0.325 0.201 0.042 0.036 0.054]
 [0.049 0.048 0.124 0.347 0.298 0.039 0.048 0.047]
 [0.024 0.027 0.109 0.369 0.305 0.067 0.085 0.014]]","[0.10684402 0.12132643 0.13946777 0.12947543 0.13982654 0.13152134
 0.13527524 0.15079811 0.12388445 0.12890448 0.11949763 0.12716645
 0.11542185 0.1408196  0.15297527 0.1431999  0.11551915 0.14425197
 0.13230149 0.11685572]",0.13076664164050392,65.5,5.2299999999999995,21.2
1.0,20,7,[1 1 3 7 5 1 2],True,5,10,100,0.02,6,gs,6,"[[0.015 0.024 0.094 0.397 0.278 0.069 0.119 0.004]
 [0.014 0.045 0.106 0.402 0.268 0.047 0.101 0.017]
 [0.053 0.062 0.184 0.33  0.245 0.04  0.051 0.035]
 [0.054 0.05  0.131 0.353 0.251 0.061 0.068 0.032]
 [0.056 0.052 0.164 0.321 0.264 0.049 0.065 0.029]
 [0.024 0.045 0.119 0.355 0.285 0.047 0.095 0.03 ]
 [0.029 0.046 0.16  0.354 0.266 0.046 0.069 0.03 ]
 [0.088 0.077 0.212 0.304 0.179 0.05  0.029 0.061]
 [0.055 0.034 0.114 0.367 0.265 0.054 0.086 0.025]
 [0.057 0.061 0.146 0.354 0.237 0.044 0.064 0.037]
 [0.042 0.049 0.156 0.349 0.266 0.044 0.07  0.024]
 [0.069 0.048 0.153 0.346 0.235 0.051 0.066 0.032]
 [0.033 0.024 0.12  0.37  0.295 0.056 0.087 0.015]
 [0.053 0.063 0.186 0.318 0.239 0.041 0.061 0.039]
 [0.097 0.068 0.161 0.333 0.202 0.054 0.038 0.047]
 [0.077 0.072 0.171 0.33  0.214 0.053 0.049 0.034]
 [0.039 0.021 0.12  0.377 0.282 0.052 0.085 0.024]
 [0.048 0.06  0.191 0.347 0.226 0.046 0.044 0.038]
 [0.066 0.07  0.198 0.305 0.217 0.05  0.054 0.04 ]
 [0.031 0.029 0.114 0.388 0.286 0.046 0.097 0.009]]","[0.10847765 0.12208391 0.14011437 0.12592606 0.13734167 0.12712569
 0.13040028 0.14656358 0.12721327 0.12703517 0.12523214 0.13212842
 0.11781362 0.13954757 0.14854886 0.14253135 0.11544277 0.13813671
 0.13877409 0.12006231]",0.13052497448248374,58.5,3.01,11.7
1.0,20,7,[1 1 3 7 5 1 2],True,5,10,100,0.02,6,gs,7,"[[0.03  0.06  0.133 0.377 0.252 0.055 0.093 0.   ]
 [0.04  0.051 0.157 0.358 0.251 0.046 0.097 0.   ]
 [0.057 0.049 0.146 0.344 0.243 0.047 0.114 0.   ]
 [0.053 0.049 0.157 0.335 0.255 0.047 0.104 0.   ]
 [0.051 0.047 0.169 0.346 0.221 0.053 0.113 0.   ]
 [0.057 0.05  0.14  0.35  0.252 0.055 0.096 0.   ]
 [0.048 0.055 0.16  0.324 0.256 0.049 0.108 0.   ]
 [0.065 0.048 0.164 0.346 0.245 0.051 0.081 0.   ]
 [0.051 0.043 0.159 0.365 0.243 0.047 0.092 0.   ]
 [0.049 0.046 0.135 0.36  0.254 0.045 0.111 0.   ]
 [0.05  0.052 0.162 0.371 0.234 0.043 0.088 0.   ]
 [0.041 0.047 0.153 0.349 0.247 0.065 0.098 0.   ]
 [0.05  0.056 0.139 0.341 0.275 0.049 0.09  0.   ]
 [0.054 0.057 0.15  0.364 0.25  0.041 0.084 0.   ]
 [0.061 0.048 0.155 0.334 0.247 0.052 0.103 0.   ]
 [0.037 0.048 0.159 0.376 0.229 0.049 0.102 0.   ]
 [0.051 0.05  0.115 0.349 0.272 0.053 0.11  0.   ]
 [0.055 0.047 0.128 0.35  0.263 0.052 0.105 0.   ]
 [0.053 0.055 0.163 0.328 0.266 0.04  0.095 0.   ]
 [0.047 0.042 0.156 0.333 0.245 0.061 0.116 0.   ]]","[0.12297785 0.13189548 0.13644785 0.12998362 0.13764464 0.13436121
 0.13487967 0.14487273 0.1328514  0.1262766  0.13294976 0.13254235
 0.12839395 0.14186459 0.14355707 0.13783316 0.12374919 0.13471877
 0.13533319 0.12482384]",0.1333978461505824,0.0,0.0,0.0
1.0,20,7,[1 3 3 2 1 1 9],True,5,10,100,0.02,6,boston,7,"[[0.052 0.173 0.14  0.112 0.064 0.044 0.415 0.   ]
 [0.048 0.139 0.17  0.104 0.056 0.035 0.448 0.   ]
 [0.06  0.124 0.151 0.091 0.045 0.065 0.464 0.   ]
 [0.051 0.144 0.163 0.095 0.052 0.041 0.454 0.   ]
 [0.054 0.133 0.154 0.112 0.062 0.041 0.444 0.   ]
 [0.058 0.165 0.136 0.096 0.044 0.044 0.457 0.   ]
 [0.042 0.16  0.165 0.096 0.044 0.055 0.438 0.   ]
 [0.039 0.171 0.151 0.095 0.049 0.047 0.448 0.   ]
 [0.038 0.146 0.128 0.099 0.063 0.062 0.464 0.   ]
 [0.056 0.138 0.132 0.113 0.049 0.059 0.453 0.   ]
 [0.045 0.17  0.151 0.083 0.052 0.049 0.45  0.   ]
 [0.059 0.142 0.155 0.092 0.052 0.054 0.446 0.   ]
 [0.06  0.149 0.138 0.091 0.042 0.036 0.484 0.   ]
 [0.043 0.161 0.161 0.109 0.055 0.054 0.417 0.   ]
 [0.045 0.146 0.151 0.1   0.046 0.047 0.465 0.   ]
 [0.064 0.156 0.146 0.104 0.038 0.055 0.437 0.   ]
 [0.056 0.136 0.171 0.089 0.041 0.059 0.448 0.   ]
 [0.044 0.149 0.152 0.089 0.048 0.048 0.47  0.   ]
 [0.044 0.152 0.14  0.121 0.041 0.056 0.446 0.   ]
 [0.042 0.146 0.145 0.109 0.057 0.049 0.452 0.   ]]","[0.1201258  0.10404327 0.10598687 0.11228677 0.10691598 0.11266273
 0.11086483 0.11189537 0.10380299 0.10897317 0.10717896 0.11056237
 0.11234682 0.11470139 0.10537868 0.11150521 0.10799764 0.10633985
 0.11235781 0.10595015]",0.10959383222313543,0.0,0.0,0.0
1.0,20,7,[1 3 3 2 1 1 9],True,5,10,100,0.02,6,gs,1,"[[0.    0.226 0.128 0.174 0.    0.    0.    0.472]
 [0.112 0.113 0.11  0.    0.    0.    0.    0.665]
 [0.05  0.042 0.292 0.2   0.    0.    0.    0.416]
 [0.038 0.106 0.2   0.162 0.    0.    0.    0.494]
 [0.067 0.155 0.117 0.    0.1   0.    0.    0.561]
 [0.021 0.146 0.106 0.241 0.    0.    0.    0.486]
 [0.055 0.165 0.174 0.06  0.    0.    0.    0.546]
 [0.041 0.112 0.154 0.1   0.1   0.    0.    0.493]
 [0.076 0.074 0.121 0.2   0.1   0.    0.    0.429]
 [0.051 0.074 0.289 0.    0.1   0.    0.    0.486]
 [0.109 0.115 0.162 0.075 0.    0.    0.    0.539]
 [0.    0.317 0.    0.125 0.    0.    0.    0.558]
 [0.07  0.174 0.176 0.    0.    0.    0.    0.58 ]
 [0.047 0.032 0.234 0.2   0.1   0.    0.    0.387]
 [0.07  0.269 0.052 0.    0.    0.    0.    0.609]
 [0.045 0.124 0.145 0.067 0.1   0.    0.    0.519]
 [0.012 0.196 0.234 0.    0.    0.    0.    0.558]
 [0.053 0.192 0.124 0.1   0.    0.    0.    0.531]
 [0.035 0.163 0.182 0.133 0.    0.    0.    0.487]
 [0.048 0.205 0.    0.163 0.1   0.    0.    0.484]]","[0.11687283 0.09065231 0.11389577 0.09970546 0.09701533 0.09926748
 0.10062253 0.09783849 0.10636731 0.10101193 0.11456798 0.09550274
 0.10897091 0.1130289  0.09477735 0.09355099 0.09601314 0.10556202
 0.11182283 0.09822522]",0.10276357563426781,79.5,51.5,28.0
